Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,Player-additional
Robert Spillane,LVR,0,4,4,100.0%,27,6.8,6.8,0,94.8,1.3,5,22,1,0,0,0.0,0,10,1,9.1%,SpilRo00
Marcus Epps,LVR,0,6,4,66.7%,31,7.8,5.2,0,79.2,6.8,24,7,1,0,0,0.0,0,5,2,28.6%,EppsMa00
Jack Jones,LVR,0,6,4,66.7%,45,11.3,7.5,0,88.9,10.2,35,10,0,0,0,0.0,0,4,1,20.0%,JoneJa10
Divine Deablo,LVR,0,3,3,100.0%,29,9.7,9.7,0,106.9,0.0,0,29,3,0,0,0.0,0,3,4,57.1%,DeabDi00
Adam Butler,LVR,0,1,1,100.0%,2,2.0,2.0,0,79.2,-2.0,-2,4,0,0,1,0.0,1,4,0,0.0%,ButlAd00
Tre'von Moehrig,LVR,0,1,1,100.0%,10,10.0,10.0,1,147.9,5.0,5,5,2,0,0,0.0,0,3,2,40.0%,MoehTr00
Maxx Crosby,LVR,0,0,0,,,,,,,,,,0,1,2,1.0,4,5,0,0.0%,CrosMa00
Nate Hobbs,LVR,0,1,0,0.0%,,,0.0,,39.6,5.0,,,4,0,1,0.0,1,4,0,0.0%,HobbNa00
Christian Wilkins,LVR,0,0,0,,,,,,,,,,0,0,0,0.0,0,5,1,16.7%,WilkCh00
Jakorian Bennett,LVR,0,2,0,0.0%,,,0.0,,39.6,18.5,,,0,0,0,0.0,0,0,0,,BennJa00
Charles Snowden,LVR,0,1,0,0.0%,,,0.0,,39.6,2.0,,,2,0,0,0.0,0,1,0,0.0%,SnowCh00
Asante Samuel Jr.,LAC,0,9,7,77.8%,71,10.1,7.9,0,99.5,9.6,51,20,0,0,0,0.0,0,6,1,14.3%,SamuAs00
Ja'Sir Taylor,LAC,0,3,3,100.0%,19,6.3,6.3,0,93.1,2.7,8,11,1,0,0,0.0,0,3,0,0.0%,TaylJa04
Junior Colson,LAC,0,3,2,66.7%,29,14.5,9.7,0,97.9,5.7,14,15,2,1,0,0.0,1,4,0,0.0%,ColsJu00
Alohi Gilman,LAC,0,2,2,100.0%,26,13.0,13.0,0,118.7,5.0,10,16,0,0,0,0.0,0,4,1,20.0%,GilmAl00
Daiyan Henley,LAC,0,2,2,100.0%,37,18.5,18.5,1,158.3,-0.5,-1,38,3,0,0,0.0,0,7,1,12.5%,HenlDa00
Kristian Fulton,LAC,0,4,2,50.0%,26,13.0,6.5,0,70.8,2.3,12,14,0,0,0,0.0,0,5,1,16.7%,FultKr00
Derwin James,LAC,0,3,2,66.7%,11,5.5,3.7,0,72.9,2.0,9,2,4,0,0,0.0,0,7,0,0.0%,JameDe00
Denzel Perryman,LAC,0,2,2,100.0%,4,2.0,2.0,0,79.2,1.0,2,2,1,0,0,0.0,0,5,2,28.6%,PerrDe00
Bud Dupree,LAC,0,2,2,100.0%,15,7.5,7.5,0,97.9,-1.5,-3,18,1,0,0,0.0,0,0,2,100.0%,DuprAl00
Elijah Molden,LAC,0,1,1,100.0%,19,19.0,19.0,0,118.7,17.0,17,2,0,0,0,0.0,0,1,0,0.0%,MoldEl00
Joey Bosa,LAC,0,0,0,,,,,,,,,,0,1,1,1.0,3,7,1,12.5%,BosaJo00
Khalil Mack,LAC,0,0,0,,,,,,,,,,0,0,0,1.5,2,3,1,25.0%,MackKh00
Morgan Fox,LAC,0,0,0,,,,,,,,,,0,0,0,0.5,1,4,1,20.0%,FoxxMo00
Poona Ford,LAC,1,1,0,0.0%,,,0.0,,0.0,-5.0,,,0,0,1,0.0,1,3,0,0.0%,FordPo00
Tuli Tuipulotu,LAC,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,,TuipTu00