,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
Eric Kendricks,DAL,1,8,0,8,1,2.0,9,6,3,1,2,0,0,0,0,KendEr00
Trevon Diggs,DAL,1,1,0,1,2,0.0,5,4,1,0,0,0,0,0,0,DiggTr00
DeMarcus Lawrence,DAL,0,0,0,0,0,2.0,5,4,1,3,4,0,0,0,1,LawrDe00
DeMarvion Overshown,DAL,0,0,0,0,0,1.0,11,5,6,1,2,0,0,0,0,OverDe00
Micah Parsons,DAL,0,0,0,0,1,1.0,4,3,1,1,5,0,0,0,0,ParsMi00
Jourdan Lewis,DAL,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,LewiJo01
Caelen Carson,DAL,0,0,0,0,2,0.0,4,4,0,0,0,0,0,0,0,CarsCa01
Damone Clark,DAL,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,ClarDa02
Malik Hooker,DAL,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,HookMa00
Marshawn Kneeland,DAL,0,0,0,0,1,0.0,3,2,1,0,2,0,0,0,0,KneeMa00
Osa Odighizuwa,DAL,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0,OdigOs00
Markquese Bell,DAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,BellMa01
Jalen Brooks,DAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,BrooJa03
Marist Liufau,DAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,LiufMa00
Trent Sieg,DAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,SiegTr00
Nick Vigil,DAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,VigiNi00
Donovan Wilson,DAL,0,0,0,0,1,0.0,2,0,2,0,0,0,0,0,0,WilsDo01
Chauncey Golston,DAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,GolsCh00
Jordan Phillips,DAL,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0,PhilJo01
Juanyeh Thomas,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,ThomJu03
Tyrus Wheat,DAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,WheaTy02
Jalen Tolbert,DAL,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,TolbJa00
Za'Darius Smith,CLE,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0,SmitZa00
Dalvin Tomlinson,CLE,0,0,0,0,0,1.0,3,1,2,1,1,0,0,0,0,TomlDa00
Myles Garrett,CLE,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,1,GarrMy00
Jeremiah Owusu-Koramoah,CLE,0,0,0,0,1,0.0,9,6,3,0,0,0,0,0,0,OwusJe00
Juan Thornhill,CLE,0,0,0,0,0,0.0,9,8,1,1,0,0,0,0,0,ThorJu00
Martin Emerson,CLE,0,0,0,0,1,0.0,8,5,3,0,0,0,0,0,0,EmerMa00
Jordan Hicks,CLE,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0,HickJo00
Grant Delpit,CLE,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0,DelpGr00
Maurice Hurst Jr.,CLE,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0,HursMa00
Quinton Jefferson,CLE,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0,JeffQu00
Devin Bush Jr.,CLE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,BushDe01
Mohamoud Diabate,CLE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,DiabMo00
Tony Fields,CLE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,FielTo00
Shelby Harris,CLE,0,0,0,0,0,0.0,2,2,0,1,1,0,0,0,0,HarrSh00
Pierre Strong,CLE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,StroPi00
Alex Wright,CLE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,WrigAl01
Charley Hughlett,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,HughCh01
Greg Newsome II,CLE,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0,NewsGr00
Joel Bitonio,CLE,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,BitoJo00
Denzel Ward,CLE,0,0,0,0,3,0.0,0,0,0,0,0,0,0,0,0,WardDe02