,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Tyler Guyton,T,63,100%,0,0%,7,19%,GuytTy00
Terence Steele,T,63,100%,0,0%,0,0%,SteeTe01
Cooper Beebe,G,62,98%,0,0%,7,19%,BeebCo00
Tyler Smith,T,62,98%,0,0%,7,19%,SmitTy02
Zack Martin,G,62,98%,0,0%,0,0%,MartZa00
Dak Prescott,QB,62,98%,0,0%,0,0%,PresDa01
Brandin Cooks,WR,50,79%,0,0%,0,0%,CookBr00
CeeDee Lamb,WR,45,71%,0,0%,0,0%,LambCe00
Jalen Tolbert,WR,42,67%,0,0%,7,19%,TolbJa00
Jake Ferguson,TE,39,62%,0,0%,0,0%,FergJa00
Ezekiel Elliott,RB,32,51%,0,0%,0,0%,ElliEz00
Rico Dowdle,RB,28,44%,0,0%,0,0%,DowdRi01
Hunter Luepke,RB,20,32%,0,0%,25,69%,LuepHu00
Luke Schoonmaker,TE,19,30%,0,0%,13,36%,SchoLu00
Brevyn Spann-Ford,TE,19,30%,0,0%,4,11%,SpanBr00
Jalen Brooks,WR,13,21%,0,0%,29,81%,BrooJa03
KaVontae Turpin,WR,6,10%,0,0%,11,31%,TurpKa00
Deuce Vaughn,RB,2,3%,0,0%,8,22%,VaugDe00
Brock Hoffman,C,1,2%,0,0%,11,31%,HoffBr00
Asim Richards,G,1,2%,0,0%,7,19%,RichAs00
T.J. Bass,G,1,2%,0,0%,7,19%,BassTJ00
Cooper Rush,QB,1,2%,0,0%,0,0%,RushCo00
Donovan Wilson,SS,0,0%,72,95%,0,0%,WilsDo01
Malik Hooker,FS,0,0%,72,95%,0,0%,HookMa00
Trevon Diggs,CB,0,0%,72,95%,0,0%,DiggTr00
Micah Parsons,LB,0,0%,69,91%,4,11%,ParsMi00
Jourdan Lewis,CB,0,0%,68,89%,1,3%,LewiJo01
Osa Odighizuwa,DT,0,0%,61,80%,4,11%,OdigOs00
Caelen Carson,DB,0,0%,60,79%,0,0%,CarsCa01
DeMarcus Lawrence,DE,0,0%,52,68%,0,0%,LawrDe00
Eric Kendricks,LB,0,0%,51,67%,0,0%,KendEr00
DeMarvion Overshown,LB,0,0%,44,58%,8,22%,OverDe00
Marshawn Kneeland,DE,0,0%,44,58%,3,8%,KneeMa00
Chauncey Golston,DT,0,0%,29,38%,11,31%,GolsCh00
Damone Clark,LB,0,0%,26,34%,10,28%,ClarDa02
Nick Vigil,LB,0,0%,25,33%,25,69%,VigiNi00
Mazi Smith,DT,0,0%,23,30%,0,0%,SmitMa06
Israel Mukuamu,FS,0,0%,16,21%,22,61%,MukuIs00
Jordan Phillips,DT,0,0%,15,20%,0,0%,PhilJo01
Linval Joseph,NT,0,0%,13,17%,0,0%,JoseLi99
Marist Liufau,LB,0,0%,9,12%,13,36%,LiufMa00
C.J. Goodwin,CB,0,0%,4,5%,29,81%,GoodC.00
Markquese Bell,FS,0,0%,4,5%,29,81%,BellMa01
Juanyeh Thomas,FS,0,0%,4,5%,28,78%,ThomJu03
Tyrus Wheat,DE,0,0%,3,4%,25,69%,WheaTy02
Brandon Aubrey,K,0,0%,0,0%,15,42%,AubrBr00
Trent Sieg,LS,0,0%,0,0%,13,36%,SiegTr00
Bryan Anger,P,0,0%,0,0%,13,36%,AngeBr00