Quarter,Time,Down,ToGo,Location,PIT,WAS,Detail,EPB,EPA
,,,,,,,Steelers won the coin toss Steelers to receive the opening kickoff.,,
1,15:00,,,WAS 35,0,0,Zane Gonzalez kicks off 61 yards returned by Jaylen Warren for 21 yards (tackle by Jeremy Reaves and Michael Davis),0.000,0.610
1,14:56,1,10,PIT 25,0,0,Najee Harris left tackle for 2 yards (tackle by Clelin Ferrell),0.610,0.330
1,14:19,2,8,PIT 27,0,0,Russell Wilson pass complete short right to Darnell Washington for 6 yards (tackle by Noah Igbinoghene and Mike Sainristil),0.330,0.430
1,13:36,3,2,PIT 33,0,0,Cordarrelle Patterson right end for 1 yard (tackle by Daron Payne),0.430,-1.110
1,12:55,4,1,PIT 34,0,0,Corliss Waitman punts 51 yards recovered by Olamide Zaccheaus at WAS-15,-1.110,0.220
1,12:42,1,10,WAS 15,0,0,Austin Ekeler up the middle for 3 yards (tackle by Elandon Roberts),-0.220,-0.280
1,12:10,2,7,WAS 18,0,0,Jayden Daniels pass complete short right to Zach Ertz for 5 yards (tackle by Minkah Fitzpatrick and Patrick Queen),-0.280,-0.390
1,11:35,3,2,WAS 23,0,0,Jayden Daniels pass incomplete short left intended for Olamide Zaccheaus,-0.390,-1.830
1,11:32,4,2,WAS 23,0,0,Tress Way punts 47 yards fair catch by Calvin Austin at PIT-30,-1.830,-0.940
1,11:25,1,10,PIT 30,0,0,Russell Wilson pass incomplete short middle intended for Pat Freiermuth. Penalty on Benjamin St-Juste: Defensive Pass Interference 14 yards (accepted) (no play),0.940,1.860
1,11:21,1,10,PIT 44,0,0,Najee Harris left guard for 7 yards (tackle by Mike Sainristil and Frankie Luvu),1.860,2.260
1,10:54,2,3,WAS 49,0,0,Najee Harris up the middle for 6 yards (tackle by Jeremy Chinn),2.260,2.720
1,10:20,1,10,WAS 43,0,0,Russell Wilson pass incomplete deep right,2.720,2.180
1,10:12,2,10,WAS 43,0,0,Jaylen Warren left end for 12 yards (tackle by Jalyn Holmes and Quan Martin),2.180,3.510
1,9:30,1,10,WAS 31,0,0,Russell Wilson pass incomplete short left intended for George Pickens,3.510,2.970
1,9:25,2,10,WAS 31,0,0,Russell Wilson pass incomplete short left intended for Van Jefferson. Penalty on Jeremy Chinn: Roughing the Passer 15 yards (accepted) (no play),2.970,4.510
1,9:22,1,10,WAS 16,0,0,Najee Harris left tackle for no gain (tackle by Jalyn Holmes),4.510,3.900
1,8:38,2,10,WAS 16,6,0,Russell Wilson pass complete deep right to George Pickens for 16 yards touchdown,3.900,7.000
1,8:33,,,WAS 15,7,0,Chris Boswell kicks extra point good,0.000,0.000
1,8:33,,,PIT 35,7,0,Chris Boswell kicks off 57 yards returned by Austin Ekeler for 22 yards (tackle by Miles Killebrew),0.000,0.940
1,8:27,1,10,WAS 30,7,0,Jayden Daniels pass complete short left to Terry McLaurin for 9 yards (tackle by Joey Porter),0.940,1.610
1,8:04,2,1,WAS 39,7,0,Austin Ekeler left end for -2 yards (tackle by Patrick Queen),1.610,0.630
1,7:29,3,3,WAS 37,7,0,Jayden Daniels sacked by Cameron Heyward for -8 yards,0.630,-1.440
1,6:49,4,11,WAS 29,7,0,Tress Way punts 53 yards returned by Calvin Austin for 3 yards (tackle by Jeremy Reaves),-1.440,-0.340
1,6:37,1,10,PIT 21,7,0,Russell Wilson sacked by Frankie Luvu for -8 yards,0.340,-1.350
1,6:04,2,18,PIT 13,7,0,Russell Wilson pass incomplete short right,-1.350,-2.300
1,5:56,3,18,PIT 13,7,0,Jaylen Warren left guard for 3 yards (tackle by Daron Payne and Bobby Wagner),-2.300,-2.390
1,5:20,4,15,PIT 16,7,0,Miles Killebrew pass incomplete short left intended for James Pierre,-2.390,-4.580
1,5:16,1,10,PIT 15,7,0,Jayden Daniels pass complete short left to Olamide Zaccheaus for 8 yards (tackle by Preston Smith),4.580,5.410
1,4:30,2,2,PIT 7,7,0,Austin Ekeler left tackle for 6 yards (tackle by Minkah Fitzpatrick),5.410,6.970
1,3:47,1,1,PIT 1,7,6,Austin Ekeler right end for 1 yard touchdown,6.970,7.000
1,3:44,,,PIT 15,7,7,Zane Gonzalez kicks extra point good,0.000,0.000
1,3:44,,,WAS 35,7,7,Zane Gonzalez kicks off 65 yards touchback.,0.000,0.940
1,3:44,1,10,PIT 30,7,7,Najee Harris right end for no gain (tackle by Efe Obada and Sheldon Day),0.940,0.390
1,2:59,2,10,PIT 30,7,7,Najee Harris right guard for 2 yards (tackle by Phidarian Mathis),0.390,-0.030
1,2:19,3,8,PIT 32,7,7,Russell Wilson pass incomplete deep left intended for Van Jefferson,-0.030,-1.240
1,2:14,4,8,PIT 32,7,7,Corliss Waitman punts 39 yards fair catch by Olamide Zaccheaus at WAS-29,-1.240,-0.870
1,2:07,1,10,WAS 29,7,7,Jeremy McNichols right guard for -3 yards (tackle by Larry Ogunjobi),0.870,-0.080
1,1:32,2,13,WAS 26,7,7,Jayden Daniels pass incomplete short middle intended for Zach Ertz,-0.080,-0.760
1,1:27,3,13,WAS 26,7,7,Jayden Daniels pass incomplete short middle intended for Terry McLaurin (defended by Patrick Queen),-0.760,-1.630
1,1:22,4,13,WAS 26,7,7,Tress Way punts 74 yards touchback.,-1.630,-0.280
1,1:11,1,10,PIT 20,7,7,Russell Wilson pass complete short right to Calvin Austin for 7 yards (tackle by Dante Fowler and Frankie Luvu),0.280,0.680
1,0:30,2,3,PIT 27,7,7,Jaylen Warren left end for 9 yards (tackle by Quan Martin and Jeremy Chinn),0.680,1.330
2,15:00,1,10,PIT 36,7,7,Russell Wilson pass complete short middle to Jaylen Warren for 3 yards (tackle by Mykal Walker),1.330,1.200
2,14:20,2,7,PIT 39,7,7,Jaylen Warren left tackle for 1 yard (tackle by Daron Payne and Jeremy Chinn),1.200,0.630
2,13:40,3,6,PIT 40,7,7,Russell Wilson pass complete short right to George Pickens for 5 yards (tackle by Mike Sainristil),0.630,-0.390
2,13:01,4,1,PIT 45,7,7,Corliss Waitman punts 41 yards recovered by Ben Skowronek at WAS-14,-0.390,4.650
2,12:51,1,10,WAS 14,7,7,Najee Harris up the middle for 3 yards (tackle by Jer'Zhan Newton and Sheldon Day),4.650,4.520
2,12:13,2,7,WAS 11,7,7,Russell Wilson pass complete short left to Pat Freiermuth for 8 yards (tackle by Jeremy Chinn),4.520,6.510
2,11:31,1,3,WAS 3,7,7,Najee Harris left guard for no gain (tackle by Sheldon Day and Quan Martin),6.510,5.530
2,10:36,2,3,WAS 3,7,7,Russell Wilson pass incomplete short left intended for Calvin Austin,5.530,4.720
2,10:31,3,3,WAS 3,13,7,Russell Wilson pass complete short right to Pat Freiermuth for 3 yards touchdown,4.720,7.000
2,10:28,,,WAS 15,14,7,Chris Boswell kicks extra point good,0.000,0.000
2,10:28,,,PIT 35,14,7,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
2,10:28,1,10,WAS 30,14,7,Jayden Daniels pass complete short right to Noah Brown for 11 yards. Penalty on Donte Jackson: Defensive Holding 5 yards (declined),0.940,1.660
2,10:11,1,10,WAS 41,14,7,Jayden Daniels pass incomplete deep right intended for Noah Brown. Penalty on Joey Porter: Defensive Pass Interference 23 yards (accepted) (no play),1.660,3.180
2,10:06,1,10,PIT 36,14,7,Austin Ekeler left end for 10 yards (tackle by DeShon Elliott and Elandon Roberts). Penalty on John Bates: Personal Foul / Offense 15 yards (offset) . Penalty on Patrick Queen: Personal Foul / Defense 15 yards (offset),3.180,3.840
2,9:42,1,10,PIT 26,14,7,Jayden Daniels pass complete short right to Dyami Brown for -2 yards (tackle by DeShon Elliott and Beanie Bishop),3.840,3.030
2,8:59,2,12,PIT 28,14,7,Austin Ekeler right end for -2 yards (tackle by Patrick Queen),3.030,2.080
2,8:19,3,14,PIT 30,14,7,Jayden Daniels pass incomplete short middle intended for Noah Brown,2.080,1.410
2,8:15,4,14,PIT 30,14,10,Zane Gonzalez 48 yard field goal good,1.410,3.000
2,8:11,,,WAS 35,14,10,Zane Gonzalez kicks off 65 yards returned by Jaylen Warren for 35 yards (tackle by Jeremy McNichols and Jeremy Chinn),0.000,1.270
2,8:04,1,10,PIT 35,14,10,Russell Wilson pass incomplete short left intended for Calvin Austin,1.270,0.720
2,8:00,2,10,PIT 35,14,10,Cordarrelle Patterson right end for 6 yards (tackle by Dorance Armstrong and Frankie Luvu),0.720,0.830
2,7:17,3,4,PIT 41,14,10,Russell Wilson scrambles right end for 6 yards (tackle by Frankie Luvu),0.830,2.060
2,6:32,1,10,PIT 47,14,10,Jaylen Warren right tackle for no gain (tackle by Sheldon Day and Phidarian Mathis),2.060,1.520
2,6:00,2,10,PIT 47,14,10,Russell Wilson pass incomplete short right,1.520,0.830
2,5:54,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,5:54,3,10,PIT 47,14,10,Russell Wilson pass incomplete deep left intended for Calvin Austin,0.830,-0.260
2,5:49,4,10,PIT 47,14,10,Corliss Waitman punts 47 yards downed by James Pierre,-0.260,0.380
2,5:39,1,10,WAS 6,14,10,Jayden Daniels left end for 4 yards (tackle by Patrick Queen),-0.380,-0.490
2,4:56,2,6,WAS 10,14,10,Jayden Daniels pass complete short left to Terry McLaurin for 6 yards (tackle by Joey Porter),-0.490,-0.140
2,4:15,1,10,WAS 16,14,10,Jayden Daniels sacked by Alex Highsmith for no gain. Penalty on Joey Porter: Face Mask (15 Yards) 15 yards (accepted) . Penalty on DeShon Elliott: Defensive Holding 5 yards (declined) (no play),-0.140,1.000
2,4:09,1,10,WAS 31,14,10,Jayden Daniels pass incomplete short middle,1.000,0.460
2,4:06,2,10,WAS 31,14,10,Jayden Daniels pass complete short middle to Zach Ertz for 9 yards (tackle by Patrick Queen),0.460,0.960
2,3:37,3,1,WAS 40,14,10,Austin Ekeler right end for 4 yards (tackle by DeShon Elliott),0.960,1.860
2,3:02,1,10,WAS 44,14,10,Jayden Daniels pass incomplete short right intended for Noah Brown,1.860,1.320
2,2:59,2,10,WAS 44,14,10,Jayden Daniels pass complete short middle to Zach Ertz for 9 yards (tackle by Payton Wilson),1.320,1.820
2,2:30,3,1,PIT 47,14,10,Jeremy McNichols up the middle for 3 yards (tackle by Isaiahh Loudermilk),1.820,2.650
2,2:00,1,10,PIT 44,14,10,Austin Ekeler right end for 7 yards (tackle by Joey Porter),2.650,3.060
2,1:24,2,3,PIT 37,14,10,Austin Ekeler up the middle for -1 yards (tackle by DeShon Elliott),3.060,2.210
2,1:20,,,,,,Timeout #2 by Pittsburgh Steelers,,
2,1:20,3,4,PIT 38,14,10,Jayden Daniels pass complete deep right to Luke McCaffrey for 23 yards (tackle by Minkah Fitzpatrick),2.210,4.580
2,0:59,1,10,PIT 15,14,10,Austin Ekeler left tackle for 8 yards (tackle by Patrick Queen and DeShon Elliott),4.580,5.410
2,0:33,2,2,PIT 7,14,10,Austin Ekeler left guard for 4 yards (tackle by DeShon Elliott),5.410,6.510
2,0:26,,,,,,Timeout #1 by Washington Commanders,,
2,0:26,1,3,PIT 3,14,10,Jayden Daniels pass incomplete short middle intended for Dyami Brown,6.510,5.530
2,0:22,,,,,,Timeout #3 by Pittsburgh Steelers,,
2,0:22,2,3,PIT 3,14,10,Jayden Daniels pass incomplete short left intended for Terry McLaurin. Penalty on Joey Porter: Defensive Pass Interference 2 yards (accepted) (no play),5.530,6.970
2,0:19,1,1,PIT 1,14,16,Austin Ekeler left end for 1 yard touchdown,6.970,7.000
2,0:16,,,PIT 15,14,17,Zane Gonzalez kicks extra point good,0.000,0.000
2,0:16,,,WAS 35,14,17,Zane Gonzalez kicks off 61 yards returned by Cordarrelle Patterson for 25 yards (tackle by Jeremy Reaves),0.000,0.870
2,0:11,1,10,PIT 29,14,17,Russell Wilson kneels for -1 yards,0.870,0.190
3,15:00,,,PIT 35,14,17,Chris Boswell kicks off 63 yards returned by Austin Ekeler for 27 yards (tackle by Connor Heyward),0.000,0.870
3,14:55,1,10,WAS 29,14,17,Jayden Daniels pass complete short middle to Terry McLaurin for 54 yards (tackle by Joey Porter),0.870,4.440
3,14:16,1,10,PIT 17,14,17,Jayden Daniels right tackle for no gain (tackle by Elandon Roberts),4.440,3.850
3,13:42,2,10,PIT 17,14,17,Jayden Daniels pass incomplete short middle intended for Zach Ertz (defended by Keeanu Benton),3.850,3.070
3,13:39,3,10,PIT 17,14,17,Jayden Daniels pass complete short left to Terry McLaurin for 16 yards (tackle by Donte Jackson and Beanie Bishop),3.070,6.970
3,12:57,1,1,PIT 1,14,23,Jeremy McNichols up the middle for 1 yard touchdown,6.970,7.000
3,12:55,,,PIT 15,14,24,Zane Gonzalez kicks extra point good,0.000,0.000
3,12:55,,,WAS 35,14,24,Zane Gonzalez kicks off 57 yards returned by Cordarrelle Patterson for 17 yards (tackle by Nick Bellore and Mykal Walker),0.000,0.610
3,12:50,1,10,PIT 25,14,24,Najee Harris left tackle for 11 yards (tackle by Mike Sainristil and Clelin Ferrell),0.610,1.330
3,12:06,1,10,PIT 36,14,24,Jaylen Warren right tackle for 2 yards (tackle by Jer'Zhan Newton),1.330,1.060
3,11:24,2,8,PIT 38,14,24,Russell Wilson pass incomplete short middle intended for MyCole Pruitt,1.060,0.370
3,11:21,3,8,PIT 38,14,24,Russell Wilson pass complete short right to Jaylen Warren for 26 yards (tackle by Quan Martin),0.370,3.180
3,10:52,1,10,WAS 36,14,24,Russell Wilson sacked by Dante Fowler for -10 yards,3.180,1.290
3,10:10,2,20,WAS 46,14,24,Russell Wilson pass complete short left to George Pickens for 34 yards (tackle by Noah Igbinoghene and Jeremy Chinn),1.290,4.780
3,9:34,1,10,WAS 12,14,24,Jaylen Warren left end for 2 yards (tackle by Jeremy Chinn and Bobby Wagner),4.780,4.450
3,8:55,2,8,WAS 10,14,24,Russell Wilson pass incomplete short right. Penalty on Dante Fowler: Defensive Offside 5 yards (accepted) (no play),4.450,5.410
3,8:50,2,3,WAS 5,14,24,Najee Harris right end for 4 yards (tackle by Bobby Wagner),5.410,6.970
3,8:09,1,1,WAS 1,20,24,Najee Harris left tackle for 1 yard touchdown,6.970,7.000
3,8:06,,,WAS 15,21,24,Chris Boswell kicks extra point good,0.000,0.000
3,8:06,,,PIT 35,21,24,Chris Boswell kicks off 58 yards returned by Austin Ekeler for 39 yards (tackle by James Pierre and Beanie Bishop),0.000,1.990
3,7:56,1,10,WAS 46,21,24,Jayden Daniels pass incomplete short middle intended for Olamide Zaccheaus,1.990,1.450
3,7:52,2,10,WAS 46,21,24,Jayden Daniels pass complete short right to Noah Brown for no gain. Penalty on Tyler Biadasz: Offensive Holding 10 yards (offset) . Penalty on Donte Jackson: Defensive Holding 5 yards (offset) (no play),1.450,1.450
3,7:37,2,10,WAS 46,21,24,Jayden Daniels pass incomplete deep left intended for Luke McCaffrey,1.450,0.760
3,7:31,3,10,WAS 46,21,24,Jayden Daniels pass incomplete short middle intended for Zach Ertz (defended by Cameron Heyward),0.760,-0.320
3,7:26,4,10,WAS 46,21,24,Tress Way punts 47 yards returned by Calvin Austin for no gain (tackle by Percy Butler),-0.320,0.380
3,7:18,1,10,PIT 7,21,24,Najee Harris up the middle for 2 yards (tackle by Phidarian Mathis and Bobby Wagner). Penalty on Zach Frazier: Offensive Holding 4 yards (accepted),-0.380,-0.460
3,6:46,1,12,PIT 5,21,24,Russell Wilson pass incomplete deep left intended for Van Jefferson (defended by Mike Sainristil),-0.460,-0.930
3,6:40,2,12,PIT 5,21,24,Najee Harris left tackle for 3 yards (tackle by Noah Igbinoghene and Dante Fowler),-0.930,-1.300
3,5:56,3,9,PIT 8,21,24,Russell Wilson pass incomplete deep left intended for Calvin Austin,-1.300,-2.490
3,5:51,4,9,PIT 8,21,24,Corliss Waitman punts 34 yards out of bounds,-2.490,-2.790
3,5:42,1,10,PIT 42,21,24,Jayden Daniels pass complete short right to Noah Brown for 8 yards (tackle by Donte Jackson),2.790,3.320
3,5:20,2,2,PIT 34,21,24,Chris Rodriguez up the middle for no gain (tackle by Larry Ogunjobi),3.320,2.610
3,4:35,3,2,PIT 34,21,24,Austin Ekeler right guard for 5 yards (tackle by Patrick Queen),2.610,3.640
3,4:12,1,10,PIT 29,21,24,Jayden Daniels sacked by Preston Smith for -1 yards,3.640,2.970
3,3:40,2,11,PIT 30,21,24,Jayden Daniels pass incomplete short middle intended for Zach Ertz,2.970,2.280
3,3:36,3,11,PIT 30,21,24,Jayden Daniels pass complete short right to Austin Ekeler for 7 yards (tackle by Minkah Fitzpatrick),2.280,2.000
3,2:55,4,4,PIT 23,21,27,Zane Gonzalez 41 yard field goal good,2.000,3.000
3,2:51,,,WAS 35,21,27,Zane Gonzalez kicks off 60 yards returned by Cordarrelle Patterson for 19 yards (tackle by Tyler Owens),0.000,0.540
3,2:45,1,10,PIT 24,21,27,Najee Harris right end for 1 yard (tackle by Benjamin St-Juste and Sheldon Day),0.540,0.130
3,2:16,2,9,PIT 25,21,27,Russell Wilson sacked by Dante Fowler for -5 yards,0.130,-1.220
3,1:34,3,14,PIT 20,21,27,Russell Wilson pass deep left intended for George Pickens is intercepted by Jeremy Chinn at WAS-26 and returned for no gain (tackle by George Pickens),-1.220,-0.670
3,1:27,1,10,WAS 26,21,27,Jayden Daniels pass complete deep left to Terry McLaurin for 28 yards (tackle by Joey Porter),0.670,2.520
3,0:55,1,10,PIT 46,21,27,Jeremy McNichols right guard for 6 yards (tackle by Elandon Roberts and Larry Ogunjobi),2.520,2.790
3,0:18,2,4,PIT 40,21,27,Jayden Daniels sacked by Cameron Heyward for -11 yards,2.790,0.630
4,15:00,3,15,WAS 49,21,27,Jayden Daniels pass complete short right to Dyami Brown for -11 yards (tackle by Preston Smith),0.630,-0.850
4,14:18,4,26,WAS 38,21,27,Tress Way punts 49 yards downed by Mykal Walker,-0.850,0.320
4,14:06,1,10,PIT 13,21,27,George Pickens left end for 4 yards (tackle by Benjamin St-Juste),-0.320,-0.300
4,13:25,2,6,PIT 17,21,27,Jaylen Warren right tackle for 5 yards (tackle by Bobby Wagner),-0.300,-0.350
4,12:46,3,1,PIT 22,21,27,Russell Wilson pass complete short left to George Pickens for 12 yards (tackle by Mike Sainristil),-0.350,1.200
4,12:07,1,10,PIT 34,21,27,Najee Harris right end for 3 yards (tackle by Bobby Wagner and Frankie Luvu),1.200,1.060
4,11:22,2,7,PIT 37,21,27,Najee Harris up the middle for 6 yards (tackle by Bobby Wagner and Daron Payne),1.060,1.160
4,10:42,3,1,PIT 43,21,27,Najee Harris left guard for no gain (tackle by Frankie Luvu),1.160,-0.520
4,10:12,4,1,PIT 43,21,27,Jaylen Warren left tackle for 4 yards (tackle by Jeremy Chinn and Quan Martin),-0.520,2.060
4,9:32,1,10,PIT 47,21,27,Russell Wilson pass incomplete short left intended for Darnell Washington,2.060,1.520
4,9:29,2,10,PIT 47,21,27,Russell Wilson pass complete deep left to George Pickens for 24 yards (tackle by Benjamin St-Juste). Penalty on Clelin Ferrell: Defensive Offside 5 yards (declined),1.520,3.640
4,9:17,1,10,WAS 29,21,27,Jaylen Warren up the middle for 5 yards (tackle by Sheldon Day),3.640,3.780
4,8:47,2,5,WAS 24,21,27,Jaylen Warren left guard for 3 yards (tackle by Sheldon Day),3.780,3.470
4,8:10,3,2,WAS 21,21,27,Jaylen Warren left tackle for 10 yards (tackle by Jeremy Chinn and Benjamin St-Juste),3.470,4.840
4,7:42,1,10,WAS 11,21,27,Jaylen Warren left guard for 3 yards (tackle by Dante Fowler),4.840,4.700
4,7:12,2,7,WAS 8,21,27,Jaylen Warren left tackle for 7 yards. Jaylen Warren fumbles (tackle by Jeremy Chinn recovered by Jeremy Chinn at WAS-1,4.700,0.380
4,7:05,1,10,WAS 1,21,27,Chris Rodriguez up the middle for 4 yards (tackle by Elandon Roberts),-0.380,-0.490
4,6:27,2,6,WAS 5,21,27,Chris Rodriguez left guard for no gain (tackle by Patrick Queen). Penalty on John Bates: Offensive Holding 2 yards (accepted) (no play),-0.490,-0.630
4,6:07,2,8,WAS 3,21,27,Jayden Daniels pass incomplete deep right intended for Luke McCaffrey,-0.630,-1.190
4,6:03,3,8,WAS 3,21,27,Jayden Daniels pass incomplete short right intended for Austin Ekeler,-1.190,-2.490
4,5:59,4,8,WAS 3,21,27,Tress Way punts 60 yards returned by Calvin Austin for 17 yards (tackle by Mykal Walker and Tyler Owens),-2.490,-2.520
4,5:46,1,10,WAS 46,21,27,Najee Harris right guard for no gain (tackle by Frankie Luvu). Penalty on Broderick Jones: Illegal Formation 5 yards (accepted) (no play),2.520,2.190
4,5:25,1,15,PIT 49,21,27,Najee Harris right end for -1 yards (tackle by Sheldon Day),2.190,1.170
4,4:41,2,16,PIT 48,21,27,Russell Wilson pass complete short right to Calvin Austin for 13 yards (tackle by Benjamin St-Juste),1.170,2.210
4,3:57,3,3,WAS 39,21,27,Russell Wilson pass complete short middle to Pat Freiermuth for 6 yards (tackle by Jeremy Chinn),2.210,3.380
4,3:16,1,10,WAS 33,21,27,Najee Harris up the middle for 1 yard (tackle by Jer'Zhan Newton and Daron Payne),3.380,2.970
4,2:31,2,9,WAS 32,21,27,Russell Wilson pass incomplete short middle intended for Darnell Washington,2.970,2.280
4,2:27,,,,,,Timeout #1 by Pittsburgh Steelers,,
4,2:27,3,9,WAS 32,27,27,Russell Wilson pass complete deep left to Mike Williams for 32 yards touchdown,2.280,7.000
4,2:22,,,WAS 15,28,27,Chris Boswell kicks extra point good,0.000,0.000
4,2:22,,,PIT 35,28,27,Chris Boswell kicks off 60 yards returned by Austin Ekeler for 30 yards (tackle by Connor Heyward),0.000,1.270
4,2:16,1,10,WAS 35,28,27,Jayden Daniels pass incomplete short middle,1.270,0.720
4,2:12,2,10,WAS 35,28,27,Jayden Daniels pass complete short right to Noah Brown for 14 yards (tackle by James Pierre),0.720,2.190
4,2:00,1,10,WAS 49,28,27,Jayden Daniels scrambles up the middle for 1 yard (tackle by Keeanu Benton),2.190,1.780
4,1:39,2,9,PIT 50,28,27,Jayden Daniels pass incomplete short right intended for Noah Brown (defended by T.J. Watt),1.780,1.090
4,1:34,3,9,PIT 50,28,27,Jayden Daniels pass incomplete deep right intended for Noah Brown (defended by James Pierre),1.090,-0.060
4,1:28,4,9,PIT 50,28,27,Jayden Daniels pass complete short middle to Zach Ertz for 8 yards (tackle by Damontae Kazee) Replay Assistant challenged the short of the line to gain ruling and the play was upheld.,-0.060,-1.730
4,1:18,1,10,PIT 42,28,27,Najee Harris right tackle for 3 yards (tackle by Jeremy Chinn and Clelin Ferrell),1.730,1.590
4,1:12,,,,,,Timeout #1 by Washington Commanders,,
4,1:12,2,7,PIT 45,28,27,Najee Harris left end for -1 yards (tackle by Percy Butler),1.590,0.760
4,1:08,,,,,,Timeout #2 by Washington Commanders,,
4,1:08,3,8,PIT 44,28,27,Cordarrelle Patterson left end for 7 yards (tackle by Jeremy Chinn),0.760,0.000
4,1:02,,,,,,Timeout #3 by Washington Commanders,,
4,1:02,4,1,WAS 49,28,27,Penalty on Jer'Zhan Newton: Neutral Zone Infraction 5 yards (accepted) (no play),0.000,2.650
4,1:02,1,10,WAS 44,28,27,Russell Wilson kneels for -1 yards,2.650,1.980
4,0:22,2,11,WAS 45,28,27,Russell Wilson kneels for -1 yards,1.980,1.160