Quarter,Time,Down,ToGo,Location,LAR,NWE,Detail,EPB,EPA
,,,,,,,Rams won the coin toss and deferred Patriots to receive the opening kickoff.,,
1,15:00,,,LAR 35,0,0,Ethan Evans kicks off 66 yards returned by Javon Baker for 46 yards (tackle by Brennan Jackson),0.000,1.930
1,14:53,1,10,NWE 45,0,0,Drake Maye pass complete short right to Kendrick Bourne for 4 yards (tackle by Darious Williams),1.930,1.920
1,14:21,2,6,NWE 49,0,0,Rhamondre Stevenson up the middle for 1 yard (tackle by Bobby Brown and Jared Verse),1.920,1.360
1,13:41,3,5,NWE 50,0,0,Drake Maye pass complete short right to Hunter Henry for 9 yards (tackle by Cobie Durant),1.360,2.850
1,13:03,1,10,LAR 41,0,0,Drake Maye pass incomplete short right. Penalty on Rhamondre Stevenson: Chop Block 16 yards (accepted) (no play),2.850,1.800
1,12:57,1,26,NWE 43,0,0,Rhamondre Stevenson right guard for 12 yards (tackle by Quentin Lake),1.800,1.770
1,12:23,2,14,LAR 45,0,0,Drake Maye pass complete short right to Austin Hooper for 1 yard (tackle by Kamren Kinchens),1.770,1.220
1,11:45,3,13,LAR 44,0,0,Drake Maye pass incomplete short right intended for Kayshon Boutte,1.220,0.330
1,11:41,4,13,LAR 44,0,0,Bryce Baringer punts 32 yards fair catch by Xavier Smith at LA-12,0.330,0.350
1,11:33,1,10,LAR 12,0,0,Kyren Williams right end for 4 yards (tackle by Christian Elliss and Kyle Dugger),-0.350,-0.370
1,10:54,2,6,LAR 16,0,0,Matthew Stafford pass complete short right to Puka Nacua for 37 yards (tackle by Jonathan Jones),-0.370,2.460
1,10:12,1,10,NWE 47,0,0,Kyren Williams left tackle for 1 yard (tackle by Keion White and Davon Godchaux),2.460,2.050
1,9:34,2,9,NWE 46,0,0,Kyren Williams right guard for 3 yards (tackle by Daniel Ekuale),2.050,1.750
1,8:50,3,6,NWE 43,0,0,Matthew Stafford pass incomplete short left intended for Cooper Kupp,1.750,0.400
1,8:46,4,6,NWE 43,0,0,Ethan Evans punts 20 yards out of bounds,0.400,-0.480
1,8:39,1,10,NWE 23,0,0,Drake Maye pass complete short left to Demario Douglas for 14 yards (tackle by Kamren Kinchens),0.480,1.400
1,8:02,1,10,NWE 37,0,0,Drake Maye pass incomplete deep left intended for Kayshon Boutte (defended by Cobie Durant),1.400,0.860
1,7:56,2,10,NWE 37,0,0,Rhamondre Stevenson up the middle for 3 yards (tackle by Christian Rozeboom and Quentin Lake),0.860,0.560
1,7:13,3,7,NWE 40,0,0,Drake Maye pass complete short left to Demario Douglas for 28 yards (tackle by Michael Hoecht),0.560,3.450
1,6:33,1,10,LAR 32,0,0,Drake Maye pass complete short left to Austin Hooper for 19 yards (tackle by Quentin Lake and Kamren Curl),3.450,4.710
1,5:49,1,10,LAR 13,0,0,Rhamondre Stevenson right guard for 4 yards (tackle by Bobby Brown and Kobie Turner),4.710,4.770
1,5:08,2,6,LAR 9,0,6,Drake Maye pass complete short right to Kendrick Bourne for 9 yards touchdown,4.770,7.000
1,5:05,,,LAR 15,0,7,Joey Slye kicks extra point good,0.000,0.000
1,5:05,,,NWE 35,0,7,Joey Slye kicks off 62 yards returned by Jordan Whittington for 24 yards (tackle by Jahlani Tavai and Curtis Jacobs),0.000,0.740
1,4:59,1,10,LAR 27,0,7,Kyren Williams up the middle for 18 yards (tackle by Jahlani Tavai),0.740,1.930
1,4:21,1,10,LAR 45,0,7,Kyren Williams up the middle for 4 yards (tackle by Jahlani Tavai and Daniel Ekuale),1.930,1.920
1,3:48,2,6,LAR 49,0,7,Kyren Williams up the middle for 2 yards (tackle by Keion White and Anfernee Jennings),1.920,1.490
1,3:05,,,,,,Timeout #1 by Los Angeles Rams,,
1,3:05,3,4,NWE 49,0,7,Matthew Stafford pass incomplete short left intended for Puka Nacua,1.490,0.000
1,3:00,4,4,NWE 49,0,7,Ethan Evans punts 38 yards,0.000,0.370
1,2:51,1,10,NWE 11,0,7,Rhamondre Stevenson right guard for 5 yards (tackle by Jared Verse and Jonah Williams),-0.370,-0.300
1,2:13,2,5,NWE 16,0,7,Drake Maye pass complete short middle to Hunter Henry for 14 yards (tackle by Quentin Lake),-0.300,0.940
1,1:36,1,10,NWE 30,0,7,Antonio Gibson up the middle for 4 yards (tackle by Tyler Davis and Kobie Turner),0.940,0.930
1,0:58,2,6,NWE 34,0,7,Drake Maye pass complete short right to Kendrick Bourne for 18 yards (tackle by Quentin Lake and Jaylen McCollough),0.930,2.390
1,0:18,1,10,LAR 48,0,7,Antonio Gibson right end for 7 yards (tackle by Omar Speights),2.390,2.790
2,15:00,2,3,LAR 41,0,7,Antonio Gibson up the middle for 1 yard (tackle by Kobie Turner and Christian Rozeboom),2.790,2.210
2,14:21,3,2,LAR 40,0,7,Antonio Gibson right guard for 6 yards (tackle by Kamren Kinchens and Cobie Durant),2.210,3.310
2,13:43,1,10,LAR 34,0,7,Drake Maye pass complete short left to Antonio Gibson for 2 yards (tackle by Jared Verse),3.310,3.110
2,13:10,2,7,LAR 32,0,7,Drake Maye pass incomplete short right intended for Jaheim Bell (defended by Cobie Durant),3.110,2.410
2,13:07,3,7,LAR 32,0,7,Drake Maye pass complete deep right to Hunter Henry for no gain (tackle by Kamren Curl). Penalty on Vederian Lowe: Illegal Formation 5 yards (accepted) (no play),2.410,1.750
2,12:34,3,12,LAR 37,0,7,Drake Maye pass incomplete deep left intended for Demario Douglas (defended by Quentin Lake) (defended by Kobie Turner),1.750,0.790
2,12:30,4,12,LAR 37,0,7,Penalty on NWE: Delay of Game 5 yards (accepted) (no play),0.790,0.460
2,12:30,4,17,LAR 42,0,7,Bryce Baringer punts 42 yards touchback.,0.460,-0.280
2,12:23,1,10,LAR 20,0,7,Matthew Stafford pass complete deep right to Puka Nacua for 25 yards (tackle by Jahlani Tavai and Marco Wilson),0.280,1.930
2,11:45,1,10,LAR 45,0,7,Matthew Stafford pass complete short middle to Blake Corum for 7 yards (tackle by Christian Elliss),1.930,2.330
2,11:04,2,3,NWE 48,0,7,Matthew Stafford pass complete short left to Demarcus Robinson for 10 yards (tackle by Marcus Jones),2.330,3.050
2,10:24,1,10,NWE 38,0,7,Blake Corum right guard for 5 yards (tackle by Keion White and Daniel Ekuale),3.050,3.180
2,9:49,2,5,NWE 33,0,7,Blake Corum right end for 10 yards (tackle by Marcus Jones),3.180,4.040
2,9:13,1,10,NWE 23,0,7,Blake Corum left guard for 6 yards (tackle by Christian Barmore and Christian Elliss),4.040,4.380
2,8:32,2,4,NWE 17,0,7,Matthew Stafford pass complete short left to Puka Nacua for 12 yards (tackle by Marco Wilson and Marcus Jones),4.380,6.060
2,8:04,1,5,NWE 5,0,7,Blake Corum left tackle for no gain (tackle by Jahlani Tavai and Jeremiah Pharms),6.060,5.150
2,7:22,2,5,NWE 5,6,7,Matthew Stafford pass complete short right to Cooper Kupp for 5 yards touchdown,5.150,7.000
2,7:18,,,NWE 15,7,7,Joshua Karty kicks extra point good,0.000,0.000
2,7:18,,,LAR 35,7,7,Ethan Evans kicks off 66 yards recovered by Javon Baker at NE-4 returned by Javon Baker for 16 yards (tackle by Nick Hampton and Ahkello Witherspoon),0.000,0.280
2,7:13,1,10,NWE 20,7,7,Rhamondre Stevenson up the middle for 1 yard (tackle by Kamren Curl),0.280,-0.130
2,6:37,2,9,NWE 21,7,7,Drake Maye pass complete short middle to Austin Hooper for 6 yards (tackle by Kamren Kinchens and Byron Young),-0.130,-0.030
2,5:55,3,3,NWE 27,7,7,Drake Maye sacked by Braden Fiske for -15 yards. Drake Maye fumbles (forced by Braden Fiske) recovered by Kobie Turner at NE-12 (tackle by Ben Brown) Replay Assistant challenged the fumble ruling and the play was upheld.,-0.030,-4.780
2,5:49,1,10,NWE 12,13,7,Matthew Stafford pass complete short right to Puka Nacua for 12 yards touchdown,4.780,7.000
2,5:45,,,NWE 15,14,7,Joshua Karty kicks extra point good,0.000,0.000
2,5:45,,,LAR 35,14,7,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
2,5:45,1,10,NWE 30,14,7,Rhamondre Stevenson left tackle for 10 yards (tackle by Omar Speights and Darious Williams),0.940,1.600
2,5:01,1,10,NWE 40,14,7,Drake Maye pass incomplete short right,1.600,1.050
2,4:54,2,10,NWE 40,14,7,Drake Maye pass incomplete short left intended for Hunter Henry (defended by Michael Hoecht). Penalty on Vederian Lowe: Offensive Holding 10 yards (declined),1.050,0.370
2,4:48,3,10,NWE 40,14,7,Penalty on Kobie Turner: Encroachment 5 yards (accepted) (no play),0.370,1.030
2,4:48,3,5,NWE 45,14,7,Drake Maye pass complete short left to Hunter Henry for 9 yards (tackle by Jaylen McCollough). Penalty on Jaylen McCollough: Illegal Contact 5 yards (declined),1.030,2.520
2,4:24,1,10,LAR 46,14,7,Drake Maye pass complete short middle to Demario Douglas for 11 yards (tackle by Quentin Lake),2.520,3.250
2,3:50,1,10,LAR 35,14,7,Rhamondre Stevenson left end for no gain (tackle by Christian Rozeboom). Penalty on Jaylen McCollough: Face Mask (15 Yards) 15 yards (accepted) (no play),3.250,4.240
2,3:20,,,,,,Timeout #1 by New England Patriots,,
2,3:20,1,10,LAR 20,14,7,Drake Maye pass complete short right to Rhamondre Stevenson for 6 yards (tackle by Christian Rozeboom and Cobie Durant),4.240,4.640
2,2:37,2,4,LAR 14,14,7,Penalty on Michael Jordan: False Start 5 yards (accepted) (no play),4.640,3.820
2,2:18,2,9,LAR 19,14,7,Drake Maye scrambles right end for 6 yards (tackle by Christian Rozeboom),3.820,4.100
2,2:00,3,3,LAR 13,14,7,Drake Maye pass incomplete short middle,4.100,2.670
2,1:55,4,3,LAR 13,14,10,Joey Slye 32 yard field goal good,2.670,3.000
2,1:52,,,NWE 35,14,10,Joey Slye kicks off 65 yards touchback.,0.000,0.940
2,1:52,1,10,LAR 30,14,10,Kyren Williams up the middle for 7 yards (tackle by Christian Barmore and Christian Elliss),0.940,1.340
2,1:31,2,3,LAR 37,14,10,Matthew Stafford pass complete short right to Puka Nacua for 10 yards (tackle by Christian Gonzalez),1.340,2.060
2,1:28,1,10,LAR 47,14,10,Matthew Stafford pass complete short left to Kyren Williams for no gain (tackle by Jahlani Tavai). Penalty on Christian Elliss: Illegal Contact 5 yards (accepted) (no play),2.060,2.390
2,1:21,1,10,NWE 48,14,10,Kyren Williams left guard for 4 yards (tackle by Christian Elliss),2.390,2.390
2,1:00,2,6,NWE 44,14,10,Matthew Stafford pass incomplete short left intended for Tutu Atwell,2.390,1.690
2,0:57,3,6,NWE 44,14,10,Matthew Stafford pass complete short right to Cooper Kupp for 5 yards (tackle by Anfernee Jennings),1.690,0.660
2,0:37,4,1,NWE 39,14,10,Kyren Williams up the middle for 6 yards (tackle by Kyle Dugger and Daniel Ekuale),0.660,3.380
2,0:33,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:33,1,10,NWE 33,14,10,Matthew Stafford pass complete short left to Demarcus Robinson for 9 yards (tackle by Jahlani Tavai),3.380,4.050
2,0:16,2,1,NWE 24,14,10,Penalty on Alaric Jackson: False Start 5 yards (accepted) (no play),4.050,3.380
2,0:16,,,,,,Timeout #3 by Los Angeles Rams,,
2,0:16,,,,,,Timeout #2 by New England Patriots,,
2,0:16,2,6,NWE 29,14,10,Matthew Stafford pass complete deep left to Puka Nacua for 21 yards (tackle by Marcus Jones),3.380,5.370
2,0:11,1,8,NWE 8,14,10,Matthew Stafford pass incomplete short right intended for Cooper Kupp,5.370,4.570
2,0:07,,,,,,Timeout #3 by New England Patriots,,
2,0:07,2,8,NWE 8,14,10,Matthew Stafford pass incomplete short right intended for Cooper Kupp,4.570,3.580
2,0:03,3,8,NWE 8,14,10,Joshua Karty 26 yard field goal no good,3.580,-0.220
3,15:00,,,NWE 35,14,10,Joey Slye kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,LAR 30,14,10,Kyren Williams left end for 1 yard (tackle by Jeremiah Pharms and Marcus Jones),0.940,0.530
3,14:19,2,9,LAR 31,20,10,Matthew Stafford pass complete deep middle to Cooper Kupp for 69 yards touchdown,0.530,7.000
3,14:10,,,NWE 15,21,10,Joshua Karty kicks extra point good,0.000,0.000
3,14:10,,,LAR 35,21,10,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
3,14:10,1,10,NWE 30,21,10,Rhamondre Stevenson right tackle for 9 yards (tackle by Quentin Lake),0.940,1.610
3,13:26,2,1,NWE 39,21,10,Drake Maye pass complete short left to Kayshon Boutte for 6 yards (tackle by Quentin Lake and Kamren Kinchens),1.610,1.930
3,12:54,1,10,NWE 45,21,10,Rhamondre Stevenson left end for 3 yards (tackle by Darious Williams and Michael Hoecht),1.930,1.790
3,12:18,2,7,NWE 48,21,10,Drake Maye pass complete short left to Demario Douglas for 6 yards (tackle by Omar Speights),1.790,1.820
3,11:40,3,2,LAR 46,21,10,Drake Maye pass complete short right to Kayshon Boutte for 8 yards (tackle by Kamren Kinchens),1.820,3.050
3,10:59,1,10,LAR 38,21,10,Marcus Jones left end for 5 yards (tackle by Kamren Curl),3.050,3.180
3,10:20,2,5,LAR 33,21,10,Drake Maye pass complete short middle to Hunter Henry for 15 yards (tackle by Darious Williams),3.180,4.370
3,9:42,1,10,LAR 18,21,10,Drake Maye pass complete short right to Hunter Henry for 5 yards (tackle by Christian Rozeboom),4.370,4.610
3,9:09,2,5,LAR 13,21,10,Drake Maye pass complete short right to Rhamondre Stevenson for 2 yards (tackle by Quentin Lake). Penalty on Quentin Lake: Low Block 6 yards (accepted),4.610,6.060
3,8:43,1,5,LAR 5,21,10,Drake Maye pass incomplete short right intended for Hunter Henry (defended by Kamren Curl),6.060,5.150
3,8:40,2,5,LAR 5,21,10,Rhamondre Stevenson right tackle for 3 yards (tackle by Omar Speights and Kobie Turner),5.150,4.950
3,7:58,3,2,LAR 2,21,10,Rhamondre Stevenson right guard for no gain (tackle by Kobie Turner),4.950,3.250
3,7:10,4,2,LAR 2,21,10,Penalty on NWE: Delay of Game 5 yards (accepted) (no play),3.250,2.970
3,7:05,4,7,LAR 7,21,13,Joey Slye 25 yard field goal good,2.970,3.000
3,7:02,,,NWE 35,21,13,Joey Slye kicks off 61 yards returned by Xavier Smith for 24 yards (tackle by Joe Giles-Harris),0.000,0.810
3,6:57,1,10,LAR 28,21,13,Kyren Williams left tackle for 12 yards (tackle by Marcus Jones),0.810,1.600
3,6:20,1,10,LAR 40,21,13,Kyren Williams right end for 9 yards (tackle by Marcus Jones),1.600,2.270
3,5:43,2,1,LAR 49,21,13,Matthew Stafford pass incomplete deep left intended for Demarcus Robinson,2.270,1.550
3,5:37,3,1,LAR 49,21,13,Matthew Stafford up the middle for 3 yards (tackle by Jahlani Tavai),1.550,2.390
3,4:54,1,10,NWE 48,21,13,Matthew Stafford pass complete deep left to Tutu Atwell for 21 yards,2.390,3.780
3,4:14,1,10,NWE 27,21,13,Kyren Williams left end for 8 yards (tackle by Christian Gonzalez),3.780,4.350
3,3:35,2,2,NWE 19,27,13,Matthew Stafford pass complete deep left to Colby Parkinson for 19 yards touchdown,4.350,7.000
3,3:30,,,NWE 15,28,13,Joshua Karty kicks extra point good,0.000,0.000
3,3:30,,,LAR 35,28,13,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
3,3:30,1,10,NWE 30,28,13,Rhamondre Stevenson left tackle for 2 yards (tackle by Christian Rozeboom and Jared Verse),0.940,0.660
3,2:57,2,8,NWE 32,28,13,Drake Maye sacked by Braden Fiske for -3 yards,0.660,-0.430
3,2:14,3,11,NWE 29,28,13,Drake Maye pass complete short right to Rhamondre Stevenson for -1 yards. Rhamondre Stevenson fumbles (forced by Kamren Kinchens) recovered by Rhamondre Stevenson at NE-28 (tackle by Kamren Kinchens). Penalty on Jared Verse: Unnecessary Roughness / Defense 15 yards (accepted),-0.430,1.800
3,1:48,1,10,NWE 43,28,13,Rhamondre Stevenson right end for 5 yards (tackle by Jaylen McCollough and Christian Rozeboom),1.800,1.930
3,1:18,2,5,NWE 48,28,13,Drake Maye pass complete short left to Demario Douglas for no gain (tackle by Byron Young). Penalty on Byron Young: Face Mask (15 Yards) 15 yards (accepted) (no play),1.930,3.120
3,0:37,1,10,LAR 37,28,13,Drake Maye scrambles left end for 16 yards (tackle by Quentin Lake),3.120,4.170
4,15:00,1,10,LAR 21,28,13,Drake Maye pass complete short left to Rhamondre Stevenson for 9 yards (tackle by Kobie Turner),4.170,5.160
4,14:20,2,1,LAR 12,28,13,Rhamondre Stevenson up the middle for 3 yards (tackle by Christian Rozeboom and Jake Hummel),5.160,5.140
4,13:38,1,9,LAR 9,28,13,Drake Maye scrambles left end for 5 yards (tackle by Kamren Curl),5.140,5.340
4,12:49,2,4,LAR 4,28,19,Drake Maye pass complete short left to Vederian Lowe for 4 yards touchdown,5.340,7.000
4,12:45,,,LAR 15,28,19,Joey Slye kicks extra point blocked blocked by Michael Hoecht,0.000,-1.000
4,12:45,,,NWE 35,28,19,Joey Slye kicks off 65 yards returned by Xavier Smith for 34 yards (tackle by Dell Pettus and Sione Takitaki),0.000,1.200
4,12:38,1,10,LAR 34,28,19,Blake Corum left tackle for no gain (tackle by Daniel Ekuale and Marcus Jones),1.200,0.660
4,11:54,2,10,LAR 34,28,19,Matthew Stafford pass incomplete deep right intended for Cooper Kupp,0.660,-0.030
4,11:49,3,10,LAR 34,28,19,Matthew Stafford pass complete short left to Cooper Kupp for 5 yards (tackle by Christian Gonzalez),-0.030,-0.780
4,11:09,4,5,LAR 39,28,19,Ethan Evans punts 50 yards fair catch by Marcus Jones at NE-11,-0.780,0.370
4,11:03,1,10,NWE 11,28,19,Rhamondre Stevenson up the middle for -2 yards (tackle by Tyler Davis and Michael Hoecht),-0.370,-0.930
4,10:30,2,12,NWE 9,28,19,Drake Maye pass complete short middle to Kayshon Boutte for 13 yards (tackle by Kamren Kinchens),-0.930,0.410
4,10:00,1,10,NWE 22,28,19,Rhamondre Stevenson right guard for 4 yards (tackle by Omar Speights and Michael Hoecht),0.410,0.410
4,9:34,2,6,NWE 26,28,19,Drake Maye pass complete short right to Kendrick Bourne for 21 yards (tackle by Omar Speights),0.410,2.060
4,9:02,1,10,NWE 47,28,19,Jamycal Hasty right tackle for -3 yards (tackle by Kobie Turner),2.060,1.110
4,8:36,2,13,NWE 44,28,19,Drake Maye pass complete short right to Hunter Henry for 11 yards (tackle by Jaylen McCollough),1.110,1.880
4,8:06,3,2,LAR 45,28,19,Jamycal Hasty right tackle for 5 yards (tackle by Ahkello Witherspoon and Jared Verse),1.880,2.920
4,7:41,1,10,LAR 40,28,19,Drake Maye pass complete short left to Austin Hooper for 9 yards (tackle by Jaylen McCollough and Quentin Lake),2.920,3.590
4,7:10,2,1,LAR 31,28,19,Rhamondre Stevenson right tackle for 3 yards (tackle by Tyler Davis),3.590,3.710
4,6:40,1,10,LAR 28,28,19,Drake Maye pass complete short left to Kayshon Boutte for 6 yards (tackle by Darious Williams),3.710,3.980
4,6:12,2,4,LAR 22,28,19,Rhamondre Stevenson up the middle for 3 yards (tackle by Michael Hoecht and Christian Rozeboom),3.980,3.720
4,5:44,3,1,LAR 19,28,19,Rhamondre Stevenson up the middle for no gain (tackle by Michael Hoecht and Christian Rozeboom),3.720,2.340
4,4:57,4,1,LAR 19,28,19,Penalty on Ja'Lynn Polk: False Start 4 yards (accepted) (no play),2.340,1.980
4,4:57,4,5,LAR 23,28,22,Joey Slye 42 yard field goal good,1.980,3.000
4,4:54,,,NWE 35,28,22,Joey Slye kicks off 65 yards touchback.,0.000,0.940
4,4:54,1,10,LAR 30,28,22,Matthew Stafford pass complete short right to Cooper Kupp for 18 yards (tackle by Dell Pettus),0.940,2.130
4,4:12,1,10,LAR 48,28,22,Kyren Williams up the middle for 2 yards (tackle by Davon Godchaux and Kyle Dugger),2.130,1.850
4,3:29,2,8,LAR 50,28,22,Kyren Williams up the middle for 5 yards (tackle by Christian Barmore),1.850,1.820
4,2:43,3,3,NWE 45,28,22,Matthew Stafford pass complete short left to Puka Nacua for 6 yards (tackle by Marcus Jones),1.820,2.980
4,2:37,,,,,,Timeout #1 by New England Patriots,,
4,2:37,1,10,NWE 39,28,22,Matthew Stafford pass incomplete short right intended for Demarcus Robinson (defended by Keion White),2.980,2.440
4,2:35,,,,,,Timeout #1 by Los Angeles Rams,,
4,2:35,2,10,NWE 39,28,22,Matthew Stafford pass complete short right to Cooper Kupp for 4 yards (tackle by Christian Gonzalez),2.440,2.280
4,2:27,,,,,,Timeout #2 by New England Patriots,,
4,2:27,,,,,,Timeout #2 by Los Angeles Rams,,
4,2:27,3,6,NWE 35,28,22,Matthew Stafford pass incomplete deep left intended for Puka Nacua (defended by Jonathan Jones),2.280,0.970
4,2:22,4,6,NWE 35,28,22,Ethan Evans punts 30 yards out of bounds. Penalty on Omar Speights: Illegal Formation 5 yards (accepted),0.970,0.380
4,2:14,1,10,NWE 10,28,22,Drake Maye pass incomplete short right intended for Hunter Henry (defended by Kamren Curl),-0.380,-0.780
4,2:11,2,10,NWE 10,28,22,Drake Maye pass complete deep right to Kendrick Bourne for 18 yards (tackle by Ahkello Witherspoon). Penalty on Ahkello Witherspoon: Defensive Pass Interference 15 yards (declined),-0.780,0.810
4,2:06,1,10,NWE 28,28,22,Rhamondre Stevenson up the middle for 4 yards (tackle by Braden Fiske and Christian Rozeboom),0.810,0.800
4,2:00,2,6,NWE 32,28,22,Drake Maye sacked by Byron Young for -7 yards,0.800,-0.820
4,1:55,,,,,,Timeout #3 by New England Patriots,,
4,1:55,3,13,NWE 25,28,22,Drake Maye pass deep middle intended for Demario Douglas is intercepted by Kamren Kinchens at LA-48 and returned for 9 yards,-0.820,-2.720
4,1:47,1,10,NWE 43,28,22,Matthew Stafford kneels for -1 yards,2.720,2.040
4,1:05,2,11,NWE 44,28,22,Matthew Stafford kneels for -1 yards,2.040,1.220
4,0:35,3,12,NWE 45,28,22,Matthew Stafford kneels for -1 yards,1.220,0.200