Quarter,Time,Down,ToGo,Location,SFO,LAR,Detail,EPB,EPA
,,,,,,,Rams won the coin toss and deferred 49ers to receive the opening kickoff.,,
1,15:00,,,LAR 35,0,0,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,SFO 30,0,0,Jordan Mason up the middle for 6 yards (tackle by Neville Gallimore and Christian Rozeboom),0.940,1.200
1,14:31,2,4,SFO 36,0,0,Brock Purdy pass complete short left to Brandon Aiyuk for 11 yards (tackle by Christian Rozeboom). Penalty on Christian Rozeboom: Face Mask (15 Yards) 15 yards (accepted),1.200,3.050
1,14:12,1,10,LAR 38,0,0,Brock Purdy pass incomplete short right intended for Jauan Jennings (defended by Byron Young),3.050,2.510
1,14:03,2,10,LAR 38,0,0,Jordan Mason left tackle for 7 yards (tackle by Quentin Lake and Troy Reeder),2.510,2.740
1,13:17,3,3,LAR 31,0,0,Jordan Mason up the middle for 7 yards (tackle by Kamren Kinchens and Kamren Curl),2.740,3.970
1,12:38,1,10,LAR 24,0,0,Jordan Mason right guard for 4 yards (tackle by Tre'Davious White and Jared Verse),3.970,3.970
1,11:52,2,6,LAR 20,0,0,Brock Purdy pass complete short right to Jordan Mason for 7 yards (tackle by Troy Reeder),3.970,4.710
1,11:17,1,10,LAR 13,6,0,Brock Purdy pass complete short middle to Jauan Jennings for 13 yards touchdown,4.710,7.000
1,11:12,,,LAR 15,7,0,Jake Moody kicks extra point good,0.000,0.000
1,11:12,,,SFO 35,7,0,Jake Moody kicks off 65 yards touchback.,0.000,0.940
1,11:12,1,10,LAR 30,7,0,Kyren Williams right guard for 5 yards (tackle by Talanoa Hufanga),0.940,1.070
1,10:32,2,5,LAR 35,7,0,Kyren Williams up the middle for 3 yards (tackle by De'Vondre Campbell and Leonard Floyd),1.070,0.760
1,9:57,3,2,LAR 38,7,0,Matthew Stafford pass incomplete short left intended for Tyler Johnson,0.760,-0.850
1,9:49,4,2,LAR 38,7,0,Ethan Evans punts 48 yards returned by Jacob Cowing for 9 yards (tackle by Nick Hampton),-0.850,-0.480
1,9:40,1,10,SFO 23,7,0,Jordan Mason left tackle for -2 yards (tackle by Byron Young),0.480,-0.340
1,9:05,2,12,SFO 21,7,0,Jordan Mason up the middle for 4 yards (tackle by Troy Reeder and Christian Rozeboom),-0.340,-0.490
1,8:21,3,8,SFO 25,7,0,Brock Purdy pass incomplete deep middle intended for Brandon Aiyuk. Penalty on Tre'Davious White: Defensive Holding 5 yards (accepted) (no play),-0.490,0.940
1,8:11,1,10,SFO 30,7,0,Brock Purdy pass complete short middle to Brandon Aiyuk for no gain (tackle by Kamren Curl). Penalty on Dominick Puni: Ineligible Downfield Pass 5 yards (accepted) (no play),0.940,0.610
1,7:51,1,15,SFO 25,7,0,Brock Purdy pass incomplete deep left intended for Brandon Aiyuk,0.610,-0.280
1,7:43,2,15,SFO 25,7,0,Brock Purdy pass complete deep middle to Jauan Jennings for 34 yards (tackle by Kamren Curl),-0.280,2.850
1,6:59,1,10,LAR 41,7,0,Jordan Mason right tackle for 1 yard (tackle by Troy Reeder and Jared Verse),2.850,2.440
1,6:18,2,9,LAR 40,7,0,Brock Purdy pass complete short middle to Brandon Aiyuk for 2 yards (tackle by Cobie Durant and Byron Young),2.440,2.020
1,5:35,3,7,LAR 38,7,0,Brock Purdy pass incomplete deep left intended for Jauan Jennings. Penalty on Quentin Lake: Illegal Contact 5 yards (accepted) (no play),2.020,3.380
1,5:24,1,10,LAR 33,7,0,Brock Purdy pass incomplete short left intended for Ronnie Bell. Penalty on Trent Williams: Offensive Holding 10 yards (accepted) (no play),3.380,2.720
1,5:20,1,20,LAR 43,7,0,Brock Purdy pass complete deep right to Eric Saubert for 16 yards (tackle by Kamren Curl),2.720,3.650
1,4:43,2,4,LAR 27,7,0,Brock Purdy pass incomplete short left intended for Brandon Aiyuk,3.650,2.940
1,4:37,3,4,LAR 27,7,0,Brock Purdy pass incomplete short right intended for Brandon Aiyuk. Penalty on Kamren Curl: Defensive Pass Interference 14 yards (accepted) (no play),2.940,4.710
1,4:33,1,10,LAR 13,7,0,Jordan Mason up the middle for 3 yards (tackle by Christian Rozeboom),4.710,4.580
1,4:00,2,7,LAR 10,7,0,Brock Purdy pass complete short left to Brandon Aiyuk for 9 yards (tackle by Christian Rozeboom and Quentin Lake),4.580,6.970
1,3:19,1,1,LAR 1,7,0,Jordan Mason left guard for -3 yards (tackle by Tyler Davis and Bobby Brown),6.970,5.340
1,2:35,2,4,LAR 4,7,0,Jordan Mason up the middle for no gain (tackle by Kamren Kinchens),5.340,4.490
1,1:53,3,4,LAR 4,13,0,Brock Purdy pass complete short right to Jauan Jennings for 4 yards touchdown,4.490,7.000
1,1:47,,,LAR 15,14,0,Jake Moody kicks extra point good,0.000,0.000
1,1:47,,,SFO 35,14,0,Jake Moody kicks off 65 yards touchback.,0.000,0.940
1,1:47,1,10,LAR 30,14,0,Kyren Williams left end for 13 yards (tackle by Talanoa Hufanga),0.940,1.800
1,1:15,1,10,LAR 43,14,0,Kyren Williams up the middle for 6 yards (tackle by De'Vondre Campbell),1.800,2.060
1,0:34,2,4,LAR 49,14,0,Kyren Williams up the middle for 2 yards (tackle by Fred Warner and De'Vondre Campbell),2.060,1.620
2,15:00,3,2,SFO 49,14,0,Kyren Williams right guard for 4 yards (tackle by Leonard Floyd and Charvarius Ward),1.620,2.590
2,14:21,1,10,SFO 45,14,0,Matthew Stafford pass complete short left to Demarcus Robinson for no gain. Penalty on Hunter Long: Offensive Holding 10 yards (accepted) (no play),2.590,1.930
2,13:55,1,20,LAR 45,14,0,Matthew Stafford sacked by Javon Hargrave for -9 yards,1.930,-0.520
2,13:16,2,29,LAR 36,14,0,Kyren Williams up the middle for no gain (tackle by Fred Warner),-0.520,-1.150
2,12:35,3,29,LAR 36,14,0,Kyren Williams up the middle for 7 yards (tackle by De'Vondre Campbell and Talanoa Hufanga),-1.150,-0.520
2,11:58,4,22,LAR 43,14,0,Ethan Evans punts 38 yards out of bounds,-0.520,-0.150
2,11:51,1,10,SFO 19,14,0,Jordan Mason right tackle for 3 yards (tackle by Michael Hoecht and Neville Gallimore),0.150,0.070
2,11:15,2,7,SFO 22,14,0,Brock Purdy pass complete short left to Brandon Aiyuk for 12 yards (tackle by Cobie Durant),0.070,1.200
2,10:31,1,10,SFO 34,14,0,Brock Purdy pass complete short middle to Kyle Juszczyk for 6 yards (tackle by Christian Rozeboom and Michael Hoecht),1.200,1.470
2,9:54,2,4,SFO 40,14,0,Jordan Mason up the middle for no gain (tackle by Tre'Davious White),1.470,0.760
2,9:10,3,4,SFO 40,14,0,Brock Purdy pass incomplete deep middle intended for Brandon Aiyuk (defended by Tre'Davious White),0.760,-0.720
2,9:02,4,4,SFO 40,14,0,Mitch Wishnowsky punts 47 yards fair catch by Xavier Smith at LA-13,-0.720,0.320
2,8:55,1,10,LAR 13,14,0,Ronnie Rivers right end for 2 yards (tackle by Ji'Ayir Brown),-0.320,-0.570
2,8:32,2,8,LAR 15,14,0,Matthew Stafford pass incomplete short right intended for Tutu Atwell (defended by Charvarius Ward),-0.570,-1.180
2,8:26,3,8,LAR 15,14,0,Matthew Stafford pass complete short middle to Tutu Atwell for 24 yards (tackle by Isaac Yiadom),-1.180,1.530
2,7:44,1,10,LAR 39,14,0,Matthew Stafford pass incomplete deep left. Penalty on Matthew Stafford: Intentional Grounding 11 yards (accepted),1.530,-0.500
2,7:39,2,21,LAR 28,14,0,Matthew Stafford pass complete short left to Tyler Johnson for 9 yards (tackle by Isaac Yiadom),-0.500,0.040
2,6:58,3,12,LAR 37,14,0,Matthew Stafford pass complete short right to Tyler Johnson for 6 yards (tackle by Charvarius Ward and Ji'Ayir Brown),0.040,-0.520
2,6:14,4,6,LAR 43,14,0,Ronnie Rivers left end for 7 yards (tackle by Chris Conley),-0.520,2.260
2,5:48,1,10,LAR 50,14,0,Matthew Stafford pass complete short right to Jordan Whittington for 6 yards (tackle by Charvarius Ward),2.260,2.520
2,5:12,2,4,SFO 44,14,0,Kyren Williams up the middle for 4 yards (tackle by Jordan Elliott),2.520,2.920
2,4:29,1,10,SFO 40,14,0,Matthew Stafford pass complete short left to Colby Parkinson for 4 yards (tackle by Isaac Yiadom),2.920,2.910
2,3:50,2,6,SFO 36,14,0,Matthew Stafford pass complete short left to Jordan Whittington for 7 yards (tackle by Isaac Yiadom and Nick Bosa),2.910,3.640
2,3:09,1,10,SFO 29,14,0,Matthew Stafford pass complete short right to Colby Parkinson for 9 yards (tackle by Deommodore Lenoir),3.640,4.320
2,2:26,2,1,SFO 20,14,0,Kyren Williams up the middle for -1 yards (tackle by Deommodore Lenoir),4.320,3.470
2,2:00,3,2,SFO 21,14,0,Kyren Williams up the middle for 5 yards (tackle by Javon Hargrave),3.470,4.510
2,1:23,1,10,SFO 16,14,0,Kyren Williams left end for 1 yard (tackle by Isaac Yiadom and Javon Hargrave),4.510,4.050
2,1:15,,,,,,Timeout #1 by San Francisco 49ers,,
2,1:15,2,9,SFO 15,14,6,Matthew Stafford pass complete short middle to Kyren Williams for 15 yards touchdown,4.050,7.000
2,1:11,,,SFO 15,14,7,Joshua Karty kicks extra point good,0.000,0.000
2,1:11,,,LAR 35,14,7,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
2,1:11,1,10,SFO 30,14,7,Brock Purdy pass complete short right to Jauan Jennings for 11 yards (tackle by Troy Reeder and Kamren Curl),0.940,1.660
2,0:51,1,10,SFO 41,14,7,Brock Purdy scrambles right end for 11 yards (tackle by Kamren Kinchens),1.660,2.390
2,0:42,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:42,1,10,LAR 48,14,7,Brock Purdy pass complete short left to Eric Saubert for 8 yards (tackle by Quentin Lake and Jaylen McCollough),2.390,2.930
2,0:31,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:31,2,2,LAR 40,14,7,Brock Purdy sacked by Byron Young for -4 yards. Brock Purdy fumbles (forced by Byron Young) recovered by Braden Fiske at LA-44,2.930,-1.860
2,0:27,1,10,LAR 44,14,7,Matthew Stafford sacked by Maliek Collins for -7 yards,1.860,0.370
2,0:22,,,,,,Timeout #1 by Los Angeles Rams,,
2,0:22,2,17,LAR 37,14,7,Matthew Stafford pass incomplete deep right intended for Demarcus Robinson,0.370,-0.300
2,0:15,3,17,LAR 37,14,7,Kyren Williams left guard for 4 yards (tackle by Isaac Yiadom),-0.300,-0.650
3,15:00,,,SFO 35,14,7,Jake Moody kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,LAR 30,14,7,Matthew Stafford pass complete short middle to Jordan Whittington for 15 yards (tackle by Charvarius Ward and Talanoa Hufanga). Penalty on Leonard Floyd: Illegal Use of Hands / Defense 5 yards (declined),0.940,1.930
3,14:31,1,10,LAR 45,14,7,Matthew Stafford pass incomplete short right,1.930,1.380
3,14:24,2,10,LAR 45,14,7,Matthew Stafford pass complete short middle to Tyler Johnson for 5 yards (tackle by Leonard Floyd),1.380,1.360
3,13:44,3,5,LAR 50,14,7,Matthew Stafford pass incomplete short left intended for Colby Parkinson (defended by Ji'Ayir Brown),1.360,-0.060
3,13:38,4,5,LAR 50,14,7,Ethan Evans punts 41 yards,-0.060,0.380
3,13:28,1,10,SFO 9,14,7,Brock Purdy pass incomplete short left intended for Brandon Aiyuk,-0.380,-0.780
3,13:24,2,10,SFO 9,14,7,Brock Purdy pass complete short left to Jauan Jennings for 9 yards (tackle by Cobie Durant and Christian Rozeboom),-0.780,-0.370
3,12:41,3,1,SFO 18,14,7,Brock Purdy up the middle for 2 yards (tackle by Kobie Turner and Tyler Davis),-0.370,0.280
3,12:03,1,10,SFO 20,14,7,Brock Purdy pass complete short right to Jordan Mason for 3 yards (tackle by Troy Reeder and Jared Verse),0.280,0.140
3,11:23,2,7,SFO 23,14,7,Jordan Mason up the middle for 14 yards (tackle by Quentin Lake and Kamren Kinchens),0.140,1.400
3,10:43,1,10,SFO 37,14,7,Isaac Guerendo left guard for 5 yards (tackle by Desjuan Johnson and Bobby Brown),1.400,1.530
3,10:06,2,5,SFO 42,14,7,Isaac Guerendo up the middle for 4 yards (tackle by Christian Rozeboom and Bobby Brown),1.530,1.360
3,9:25,3,1,SFO 46,14,7,Jordan Mason left end for 18 yards (tackle by Quentin Lake),1.360,3.180
3,8:41,1,10,LAR 36,14,7,Brock Purdy scrambles left tackle for 4 yards (tackle by Kobie Turner),3.180,3.180
3,7:55,2,6,LAR 32,14,7,Isaac Guerendo right tackle for 1 yard (tackle by Kobie Turner and Byron Young),3.180,2.610
3,7:07,3,5,LAR 31,20,7,Brock Purdy pass complete deep left to Jauan Jennings for 31 yards touchdown,2.610,7.000
3,7:01,,,LAR 15,21,7,Jake Moody kicks extra point good,0.000,0.000
3,7:01,,,SFO 35,21,7,Jake Moody kicks off 65 yards touchback.,0.000,0.940
3,7:01,1,10,LAR 30,21,7,Penalty on Alaric Jackson: False Start 5 yards (accepted) (no play),0.940,0.610
3,7:01,1,15,LAR 25,21,7,Matthew Stafford pass incomplete deep left intended for Tutu Atwell. Penalty on Isaac Yiadom: Defensive Pass Interference 48 yards (accepted) (no play),0.610,3.780
3,6:53,1,10,SFO 27,21,7,Kyren Williams right end for 4 yards (tackle by De'Vondre Campbell),3.780,3.770
3,6:09,2,6,SFO 23,21,7,Kyren Williams left end for -3 yards. Kyren Williams fumbles (forced by Nick Bosa) recovered by Kevin Givens at SF-26 Replay Assistant challenged the fumble ruling and the original play was overturned. Kyren Williams left end for -3 yards (tackle by Nick Bosa),3.770,2.680
3,6:00,3,9,SFO 26,21,7,Matthew Stafford pass complete short middle to Tutu Atwell for 11 yards (tackle by Talanoa Hufanga),2.680,4.580
3,5:20,1,10,SFO 15,21,7,Kyren Williams right guard for 6 yards (tackle by Renardo Green and Ji'Ayir Brown),4.580,5.030
3,4:41,2,4,SFO 9,21,7,Kyren Williams right guard for 3 yards (tackle by Talanoa Hufanga and Renardo Green),5.030,4.900
3,4:05,3,1,SFO 6,21,7,Matthew Stafford pass incomplete short right intended for Tyler Johnson. Penalty on Renardo Green: Defensive Holding 3 yards (accepted) (no play),4.900,6.510
3,3:56,1,3,SFO 3,21,13,Kyren Williams left guard for 3 yards touchdown,6.510,7.000
3,3:53,,,SFO 15,21,14,Joshua Karty kicks extra point good,0.000,0.000
3,3:53,,,LAR 35,21,14,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
3,3:53,1,10,SFO 30,21,14,Brock Purdy pass complete deep left to Jauan Jennings for 32 yards (tackle by Quentin Lake),0.940,3.050
3,3:06,1,10,LAR 38,21,14,Jordan Mason right tackle for 2 yards (tackle by Quentin Lake and Bobby Brown). Penalty on Jake Brendel: Offensive Illegal Block Above the Waist 10 yards (accepted),3.050,2.520
3,2:45,1,18,LAR 46,21,14,Brock Purdy pass complete short middle to Jauan Jennings for 14 yards (tackle by Kamren Kinchens),2.520,3.320
3,2:03,2,4,LAR 32,21,14,Brock Purdy pass incomplete short left intended for Ronnie Bell,3.320,2.610
3,1:57,3,4,LAR 32,21,14,Brock Purdy scrambles left end for 5 yards (tackle by Quentin Lake),2.610,3.780
3,1:20,1,10,LAR 27,21,14,Isaac Guerendo left tackle for 6 yards (tackle by Christian Rozeboom),3.780,4.040
3,0:40,2,4,LAR 21,21,14,Isaac Guerendo up the middle for 3 yards (tackle by Kamren Curl),4.040,3.840
4,15:00,3,1,LAR 18,21,14,Brock Purdy up the middle for no gain. Brock Purdy fumbles (forced by Kobie Turner) recovered by Byron Young at LA-14 Replay Assistant challenged the fumble ruling and the original play was overturned. Brock Purdy up the middle for no gain (tackle by Neville Gallimore),3.840,2.400
4,14:54,4,1,LAR 18,21,14,Brock Purdy up the middle for 2 yards (tackle by Braden Fiske),2.400,4.510
4,14:11,1,10,LAR 16,21,14,Brock Purdy scrambles right end for 8 yards (tackle by Kamren Curl),4.510,5.350
4,13:26,2,2,LAR 8,21,14,Jordan Mason up the middle for 1 yard (tackle by Kobie Turner and Troy Reeder),5.350,4.850
4,12:45,3,1,LAR 7,21,14,Jordan Mason left tackle for -1 yards (tackle by Troy Reeder and Quentin Lake),4.850,2.990
4,12:00,4,2,LAR 8,24,14,Jake Moody 26 yard field goal good,2.990,3.000
4,11:57,,,SFO 35,24,14,Jake Moody kicks off 65 yards touchback.,0.000,0.940
4,11:57,1,10,LAR 30,24,14,Matthew Stafford pass complete short right to Kyren Williams for 12 yards (tackle by Charvarius Ward). Penalty on Colby Parkinson: Offensive Illegal Block Above the Waist 10 yards (accepted),0.940,1.230
4,11:30,1,8,LAR 32,24,14,Matthew Stafford pass complete deep middle to Demarcus Robinson for 32 yards (tackle by Deommodore Lenoir and Fred Warner),1.230,3.180
4,10:48,1,10,SFO 36,24,14,Tutu Atwell pass complete deep right to Demarcus Robinson for 34 yards (tackle by Ji'Ayir Brown) SFO challenged the pass completion ruling and the original play was overturned. Tutu Atwell pass incomplete deep right intended for Demarcus Robinson (defended by Ji'Ayir Brown),3.180,2.640
4,10:35,2,10,SFO 36,24,14,Matthew Stafford pass complete short left to Tutu Atwell for 8 yards,2.640,3.010
4,10:01,3,2,SFO 28,24,14,Matthew Stafford pass complete short right to Colby Parkinson for 8 yards (tackle by Ji'Ayir Brown),3.010,4.240
4,9:24,1,10,SFO 20,24,14,Kyren Williams right end for 4 yards (tackle by Charvarius Ward),4.240,4.280
4,8:48,2,6,SFO 16,24,14,Kyren Williams right guard for 5 yards (tackle by Robert Beal and Talanoa Hufanga),4.280,4.590
4,8:06,3,1,SFO 11,24,14,Matthew Stafford pass incomplete short right intended for Colby Parkinson (defended by Fred Warner),4.590,2.850
4,7:58,4,1,SFO 11,24,14,Kyren Williams right guard for 3 yards (tackle by Charvarius Ward),2.850,5.370
4,7:16,1,8,SFO 8,24,14,Matthew Stafford pass incomplete short right,5.370,4.570
4,7:06,2,8,SFO 8,24,14,Matthew Stafford sacked by Sam Okuayinonu for -7 yards,4.570,2.930
4,6:23,,,,,,Timeout #1 by Los Angeles Rams,,
4,6:23,3,15,SFO 15,24,14,Matthew Stafford pass incomplete short left intended for Demarcus Robinson,2.930,2.440
4,6:18,4,15,SFO 15,24,17,Joshua Karty 33 yard field goal good,2.440,3.000
4,6:15,,,LAR 35,24,17,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
4,6:15,1,10,SFO 30,24,17,Brock Purdy pass complete short middle to Jauan Jennings for 15 yards (tackle by Troy Reeder and Cobie Durant),0.940,1.930
4,5:36,1,10,SFO 45,24,17,Jordan Mason left end for 9 yards (tackle by Tre'Davious White),1.930,2.600
4,4:59,2,1,LAR 46,24,17,Jordan Mason left tackle for 4 yards (tackle by Troy Reeder and Christian Rozeboom),2.600,2.790
4,4:16,1,10,LAR 42,24,17,Isaac Guerendo left end for no gain (tackle by Troy Reeder). Penalty on Kyle Juszczyk: Offensive Holding 10 yards (accepted) (no play),2.790,2.130
4,4:08,1,20,SFO 48,24,17,Brock Purdy pass complete short right to Jauan Jennings for 5 yards (tackle by Michael Hoecht),2.130,1.570
4,3:13,2,15,LAR 47,24,17,Brock Purdy pass complete short left to Jauan Jennings for 7 yards (tackle by Quentin Lake),1.570,1.820
4,3:09,,,,,,Timeout #1 by San Francisco 49ers,,
4,3:09,3,8,LAR 40,24,17,Brock Purdy scrambles left end for 3 yards (tackle by Jaylen McCollough),1.820,0.790
4,2:48,,,,,,Timeout #2 by Los Angeles Rams,,
4,2:48,4,5,LAR 37,24,17,Jake Moody 55 yard field goal no good,0.790,-1.930
4,2:43,1,10,LAR 45,24,17,Matthew Stafford pass complete deep right to Tutu Atwell for 50 yards (tackle by Charvarius Ward),1.930,6.060
4,2:00,1,5,SFO 5,24,17,Kyren Williams up the middle for 1 yard (tackle by Leonard Floyd and Kevin Givens),6.060,5.340
4,1:54,,,,,,Timeout #2 by San Francisco 49ers,,
4,1:54,2,4,SFO 4,24,23,Kyren Williams up the middle for 4 yards touchdown,5.340,7.000
4,1:51,,,SFO 15,24,24,Joshua Karty kicks extra point good,0.000,0.000
4,1:51,,,LAR 35,24,24,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
4,1:51,1,10,SFO 30,24,24,Brock Purdy scrambles right end for 4 yards (tackle by Jared Verse),0.940,0.930
4,1:46,2,6,SFO 34,24,24,Brock Purdy pass complete short left to Brandon Aiyuk for 9 yards (tackle by Cobie Durant and Kamren Kinchens),0.930,1.800
4,1:14,1,10,SFO 43,24,24,Brock Purdy pass incomplete short left intended for Brandon Aiyuk,1.800,1.250
4,1:08,2,10,SFO 43,24,24,Brock Purdy pass incomplete deep right intended for Ronnie Bell,1.250,0.560
4,1:02,3,10,SFO 43,24,24,Brock Purdy scrambles up the middle for 2 yards (tackle by Braden Fiske and Kobie Turner),0.560,-0.390
4,0:56,,,,,,Timeout #3 by Los Angeles Rams,,
4,0:56,4,8,SFO 45,24,24,Mitch Wishnowsky punts 43 yards returned by Xavier Smith for 38 yards (tackle by Mitch Wishnowsky),-0.390,-2.260
4,0:42,1,10,LAR 50,24,24,Matthew Stafford pass incomplete deep right intended for Colby Parkinson. Penalty on De'Vondre Campbell: Defensive Pass Interference 25 yards (accepted) . Penalty on Deommodore Lenoir: Defensive Holding 25 yards (declined) . Penalty on Deommodore Lenoir: Illegal Use of Hands / Defense 5 yards (declined) (no play),2.260,3.910
4,0:37,1,10,SFO 25,24,24,Kyren Williams right guard for 6 yards (tackle by Charvarius Ward and Fred Warner),3.910,4.200
4,0:05,,,,,,Timeout #3 by San Francisco 49ers,,
4,0:05,2,4,SFO 19,24,27,Joshua Karty 37 yard field goal good,4.200,3.000
4,0:02,,,LAR 35,24,27,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
4,0:02,1,10,SFO 30,24,27,Brock Purdy pass complete short left to Ronnie Bell for 12 yards lateral to Eric Saubert for -3 yards lateral to Brandon Aiyuk for 5 yards lateral to Jordan Mason for 1 yard lateral to Dominick Puni for -3 yards lateral to Eric Saubert for 20 yards lateral to Jake Brendel for 5 yards. Jake Brendel fumbles ball out of bounds at LA-36 (forced by Kamren Curl). Jake Brendel fumbles out of bounds,0.940,3.180