Quarter,Time,Down,ToGo,Location,PIT,IND,Detail,EPB,EPA
,,,,,,,Steelers won the coin toss and deferred Colts to receive the opening kickoff.,,
1,15:00,,,PIT 35,0,0,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,IND 30,0,0,Anthony Richardson pass complete deep left to Michael Pittman for 32 yards (tackle by Minkah Fitzpatrick),0.940,3.050
1,14:33,1,10,PIT 38,0,0,Jonathan Taylor left tackle for 14 yards (tackle by Payton Wilson and DeShon Elliott),3.050,3.970
1,14:08,1,10,PIT 24,0,0,Jonathan Taylor up the middle for 4 yards (tackle by Cameron Heyward and T.J. Watt),3.970,3.970
1,13:35,2,6,PIT 20,0,0,Anthony Richardson pass incomplete short left intended for Michael Pittman,3.970,3.270
1,13:31,3,6,PIT 20,0,0,Anthony Richardson up the middle for 9 yards (tackle by Cameron Heyward),3.270,4.840
1,12:55,1,10,PIT 11,0,0,Jonathan Taylor up the middle for 6 yards (tackle by DeShon Elliott and Minkah Fitzpatrick),4.840,5.280
1,12:29,2,4,PIT 5,0,0,Jonathan Taylor right guard for 3 yards (tackle by Nick Herbig),5.280,5.120
1,12:09,3,1,PIT 2,0,6,Jonathan Taylor up the middle for 2 yards touchdown,5.120,7.000
1,12:01,,,PIT 15,0,7,Matt Gay kicks extra point good,0.000,0.000
1,12:01,,,IND 35,0,7,Matt Gay kicks off 65 yards touchback.,0.000,0.940
1,12:01,1,10,PIT 30,0,7,Najee Harris right tackle for -2 yards (tackle by Grover Stewart and Tyquan Lewis),0.940,0.120
1,11:35,2,12,PIT 28,0,7,Justin Fields scrambles left end for 3 yards (tackle by E.J. Speed),0.120,-0.160
1,10:49,3,9,PIT 31,0,7,Justin Fields sacked by Isaiah Land for no gain. Penalty on Isaiah Land: Roughing the Passer 15 yards (accepted) (no play),-0.160,1.990
1,10:15,1,10,PIT 46,0,7,Justin Fields pass incomplete short left intended for Najee Harris,1.990,1.450
1,10:10,2,10,PIT 46,0,7,Najee Harris up the middle for 1 yard (tackle by E.J. Speed),1.450,0.890
1,9:39,3,9,PIT 47,0,7,Justin Fields pass complete short left to Calvin Austin for 17 yards (tackle by Jaylon Jones),0.890,3.180
1,9:03,1,10,IND 36,0,7,Cordarrelle Patterson right guard for -3 yards (tackle by E.J. Speed),3.180,2.230
1,8:26,2,13,IND 39,0,7,Justin Fields pass complete short middle to Cordarrelle Patterson for 5 yards (tackle by Nick Cross),2.230,2.210
1,8:10,3,8,IND 34,0,7,Penalty on Spencer Anderson: Unnecessary Roughness / Offense 15 yards (accepted) (no play),2.210,0.230
1,8:08,3,23,IND 49,0,7,Justin Fields pass complete short right to Pat Freiermuth for 8 yards (tackle by E.J. Speed and Nick Cross),0.230,0.530
1,7:32,4,15,IND 41,0,7,Corliss Waitman punts 27 yards fair catch by Josh Downs at IND-14,0.530,0.280
1,7:19,1,10,IND 14,0,7,Anthony Richardson pass complete deep right to Michael Pittman for 28 yards (tackle by Donte Jackson and Elandon Roberts),-0.280,1.730
1,6:43,1,10,IND 42,0,7,Jonathan Taylor up the middle for 1 yard (tackle by DeShon Elliott and Larry Ogunjobi),1.730,1.320
1,6:08,2,9,IND 43,0,7,Anthony Richardson pass complete short right to Josh Downs for 11 yards (tackle by Patrick Queen),1.320,2.520
1,5:33,1,10,PIT 46,0,7,Anthony Richardson left tackle for 14 yards. Anthony Richardson fumbles (forced by DeShon Elliott) recovered by Tanor Bortolini at PIT-29,2.520,3.640
1,5:32,1,10,PIT 29,0,7,Joe Flacco pass complete short middle to Jonathan Taylor for 10 yards (tackle by Elandon Roberts and Patrick Queen),3.640,4.310
1,4:52,1,10,PIT 19,0,7,Jonathan Taylor left end for 13 yards (tackle by Minkah Fitzpatrick and Payton Wilson),4.310,5.830
1,4:01,1,6,PIT 6,0,7,Anthony Richardson left end for 1 yard (tackle by Minkah Fitzpatrick),5.830,5.150
1,3:18,2,5,PIT 5,0,7,Jonathan Taylor right guard for 1 yard (tackle by T.J. Watt and Cameron Heyward),5.150,4.490
1,2:38,3,4,PIT 4,0,13,Joe Flacco pass complete short right to Josh Downs for 4 yards touchdown,4.490,7.000
1,2:34,,,PIT 15,0,14,Matt Gay kicks extra point good,0.000,0.000
1,2:34,,,IND 35,0,14,Matt Gay kicks off 65 yards touchback.,0.000,0.940
1,2:34,1,10,PIT 30,0,14,Justin Fields pass complete short right to Pat Freiermuth for 7 yards (tackle by Chris Lammons and Adam Gotsis),0.940,1.340
1,1:57,2,3,PIT 37,0,14,Najee Harris right tackle for 1 yard (tackle by Nick Cross),1.340,0.760
1,1:19,3,2,PIT 38,0,14,Najee Harris left guard for 1 yard (tackle by Jaylon Carlies),0.760,-0.780
1,0:30,4,1,PIT 39,0,14,Justin Fields left guard for no gain (tackle by Zaire Franklin),-0.780,-2.980
1,0:28,1,10,PIT 39,0,14,Joe Flacco pass incomplete deep left intended for Adonai Mitchell,2.980,2.440
1,0:22,2,10,PIT 39,0,14,Joe Flacco pass complete short left to Josh Downs for 4 yards (tackle by DeShon Elliott),2.440,2.280
2,15:00,3,6,PIT 35,0,14,Joe Flacco pass complete short middle to Josh Downs for 6 yards (tackle by Joey Porter) PIT challenged the pass completion ruling and the play was upheld.,2.280,3.640
2,14:41,1,10,PIT 29,0,14,Joe Flacco pass complete short right to Michael Pittman for 2 yards (tackle by Donte Jackson),3.640,3.370
2,14:14,2,8,PIT 27,0,14,Adonai Mitchell left end for 10 yards (tackle by Minkah Fitzpatrick),3.370,4.440
2,13:34,1,10,PIT 17,0,14,Jonathan Taylor up the middle for 3 yards (tackle by DeShon Elliott and Patrick Queen),4.440,4.320
2,12:56,2,7,PIT 14,0,14,Joe Flacco pass incomplete short left intended for Michael Pittman (defended by Joey Porter),4.320,3.500
2,12:39,3,7,PIT 14,0,14,Joe Flacco pass incomplete short left intended for Josh Downs,3.500,2.510
2,12:34,4,7,PIT 14,0,17,Matt Gay 33 yard field goal good,2.510,3.000
2,12:31,,,IND 35,0,17,Matt Gay kicks off 65 yards touchback.,0.000,0.940
2,12:31,1,10,PIT 30,0,17,Justin Fields pass complete short left to George Pickens for 4 yards (tackle by Zaire Franklin),0.940,0.930
2,11:54,2,6,PIT 34,0,17,Najee Harris left guard for 3 yards (tackle by Jaylon Jones and Zaire Franklin),0.930,0.630
2,11:12,3,3,PIT 37,0,17,Justin Fields pass incomplete short left intended for Pat Freiermuth (defended by Grover Stewart),0.630,-0.910
2,11:06,4,3,PIT 37,0,17,Corliss Waitman punts 40 yards returned by Josh Downs for 5 yards (tackle by Connor Heyward),-0.910,-0.810
2,10:58,1,10,IND 28,0,17,Joe Flacco pass complete short middle to Michael Pittman for 22 yards (tackle by Joey Porter),0.810,2.260
2,10:26,1,10,IND 50,0,17,Jonathan Taylor right tackle for -1 yards (tackle by Cameron Heyward),2.260,1.580
2,9:56,2,11,IND 49,0,17,Joe Flacco pass complete short left to Jonathan Taylor for 10 yards (tackle by DeShon Elliott and Patrick Queen),1.580,2.210
2,9:09,3,1,PIT 41,0,17,Jonathan Taylor up the middle for -2 yards (tackle by Larry Ogunjobi and Elandon Roberts),2.210,0.400
2,8:16,4,3,PIT 43,0,17,Rigoberto Sanchez punts 36 yards fair catch by Calvin Austin at PIT-7. Penalty on Jalen Elliott: Defensive Holding 3 yards (accepted),0.400,0.380
2,8:14,1,10,PIT 4,0,17,Cordarrelle Patterson right end for 4 yards (tackle by Nick Cross),-0.380,-0.490
2,7:38,2,6,PIT 8,0,17,Cordarrelle Patterson up the middle for 12 yards (tackle by Chris Lammons),-0.490,0.280
2,7:05,1,10,PIT 20,0,17,Justin Fields pass complete short middle to Cordarrelle Patterson for 14 yards (tackle by E.J. Speed),0.280,1.200
2,6:23,1,10,PIT 34,0,17,Cordarrelle Patterson up the middle for 11 yards (tackle by Jaylon Carlies and Julian Blackmon),1.200,1.930
2,5:46,1,10,PIT 45,0,17,Najee Harris left end for 1 yard (tackle by Jaylon Jones),1.930,1.520
2,5:07,2,9,PIT 46,0,17,Justin Fields pass complete short right to Darnell Washington for 20 yards (tackle by Dallis Flowers),1.520,3.310
2,4:33,1,10,IND 34,0,17,Cordarrelle Patterson up the middle for 9 yards (tackle by Nick Cross),3.310,3.990
2,3:40,2,1,IND 25,0,17,Cordarrelle Patterson right tackle for 10 yards (tackle by Zaire Franklin and Julian Blackmon),3.990,4.580
2,3:13,1,10,IND 15,0,17,Justin Fields pass complete short left to George Pickens for 10 yards. George Pickens fumbles (forced by Nick Cross) recovered by Julian Blackmon at IND-3,4.580,0.380
2,3:04,1,10,IND 3,0,17,Jonathan Taylor up the middle for -1 yards (tackle by Keeanu Benton),-0.380,-0.850
2,2:24,2,11,IND 2,0,17,Joe Flacco pass complete short right to Adonai Mitchell for no gain (tackle by Joey Porter). Penalty on Joey Porter: Defensive Pass Interference 10 yards (accepted) (no play),-0.850,-0.350
2,2:10,1,10,IND 12,0,17,Joe Flacco pass complete short middle to Josh Downs for 9 yards (tackle by DeShon Elliott),-0.350,0.420
2,2:00,2,1,IND 21,0,17,Joe Flacco pass complete short right to Michael Pittman for 17 yards (tackle by Minkah Fitzpatrick and Joey Porter),0.420,1.470
2,1:40,1,10,IND 38,0,17,Penalty on Quenton Nelson: False Start 5 yards (accepted) (no play),1.470,1.140
2,1:37,1,15,IND 33,0,17,Joe Flacco pass incomplete short middle intended for Jonathan Taylor,1.140,0.250
2,1:33,2,15,IND 33,0,17,Joe Flacco pass incomplete deep left intended for Alec Pierce (defended by Donte Jackson),0.250,-0.430
2,1:25,3,15,IND 33,0,17,Jonathan Taylor right tackle for 8 yards (tackle by Keeanu Benton),-0.430,-0.650
2,1:18,,,,,,Timeout #2 by Pittsburgh Steelers,,
2,1:18,4,7,IND 41,0,17,Rigoberto Sanchez punts 34 yards out of bounds,-0.650,-0.610
2,1:14,1,10,PIT 25,0,17,Justin Fields sacked by Dayo Odeyingbo for -4 yards,0.610,-0.480
2,1:07,,,,,,Timeout #1 by Indianapolis Colts,,
2,1:07,2,14,PIT 21,0,17,Justin Fields pass complete deep left to Pat Freiermuth for 29 yards (tackle by E.J. Speed),-0.480,2.260
2,0:43,1,10,PIT 50,0,17,Justin Fields pass incomplete short left intended for George Pickens Replay Assistant challenged the pass completion ruling and the original play was overturned. Justin Fields pass complete short left to George Pickens for 6 yards,2.260,2.520
2,0:40,2,4,IND 44,0,17,Aaron Shampklin left guard for 5 yards (tackle by Dayo Odeyingbo and E.J. Speed),2.520,2.980
2,0:22,1,10,IND 39,0,17,Justin Fields sacked by and Dayo Odeyingbo for -3 yards and Tyquan Lewis for -3 yards,2.980,2.040
2,0:18,,,,,,Timeout #3 by Pittsburgh Steelers,,
2,0:18,2,13,IND 42,0,17,Justin Fields right guard for 11 yards (tackle by Adetomiwa Adebawore),2.040,2.810
2,0:05,3,2,IND 31,0,17,Justin Fields spiked the ball,2.810,1.400
2,0:03,4,2,IND 31,3,17,Chris Boswell 50 yard field goal good,1.400,3.000
3,15:00,,,IND 35,3,17,Matt Gay kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,PIT 30,3,17,Justin Fields scrambles left tackle for no gain (tackle by Jaylon Carlies). Penalty on Adam Gotsis: Defensive Offside 5 yards (accepted) (no play),0.940,1.670
3,14:39,1,5,PIT 35,3,17,Najee Harris left tackle for 3 yards (tackle by Taven Bryan and Jaylon Carlies),1.670,1.470
3,14:03,2,2,PIT 38,3,17,Justin Fields sacked by and Julian Blackmon for -1 yards and Grover Stewart for -1 yards,1.470,0.630
3,13:18,3,3,PIT 37,3,17,Justin Fields pass complete short left to George Pickens for 9 yards (tackle by Jaylon Jones),0.630,1.990
3,12:30,1,10,PIT 46,3,17,Penalty on PIT: Delay of Game 5 yards (accepted) (no play),1.990,1.660
3,11:55,1,15,PIT 41,3,17,Najee Harris up the middle for no gain (tackle by E.J. Speed),1.660,0.780
3,11:25,2,15,PIT 41,3,17,Justin Fields pass complete short right to Darnell Washington for 11 yards (tackle by Zaire Franklin and Chris Lammons),0.780,1.550
3,10:38,3,4,IND 48,3,17,Justin Fields pass incomplete short middle intended for Pat Freiermuth (defended by Samuel Womack),1.550,0.070
3,10:32,4,4,IND 48,3,17,Corliss Waitman punts 36 yards fair catch by Josh Downs at IND-12,0.070,0.350
3,10:25,1,10,IND 12,3,17,Jonathan Taylor right tackle for 4 yards (tackle by Larry Ogunjobi and Patrick Queen),-0.350,-0.370
3,9:50,2,6,IND 16,3,17,Jonathan Taylor left tackle for 1 yard (tackle by Larry Ogunjobi),-0.370,-0.840
3,9:15,3,5,IND 17,3,17,Joe Flacco scrambles up the middle for 4 yards (tackle by Terrell Edmunds). Penalty on Braden Smith: Illegal Formation 5 yards (declined),-0.840,-1.960
3,9:05,4,1,IND 21,3,17,Rigoberto Sanchez punts 42 yards returned by Calvin Austin for 30 yards (tackle by Kylen Granson),-1.960,-3.380
3,8:46,1,10,IND 33,3,17,Justin Fields pass incomplete short right intended for Najee Harris,3.380,2.840
3,8:42,2,10,IND 33,3,17,Najee Harris up the middle for no gain (tackle by Laiatu Latu and Zaire Franklin),2.840,2.150
3,8:00,3,10,IND 33,3,17,Justin Fields sacked by Chris Lammons for -22 yards. Justin Fields fumbles (forced by Chris Lammons) recovered by Chris Lammons at PIT-45 and returned for 3 yards (tackle by Broderick Jones),2.150,-2.790
3,7:48,1,10,PIT 42,3,17,Joe Flacco sacked by and Beanie Bishop for -6 yards and Cameron Heyward for -6 yards,2.790,1.430
3,7:13,2,16,PIT 48,3,17,Joe Flacco pass complete short left to Alec Pierce for 9 yards (tackle by Donte Jackson),1.430,1.950
3,6:35,3,7,PIT 39,3,17,Jonathan Taylor up the middle for 3 yards (tackle by Patrick Queen and Terrell Edmunds),1.950,0.890
3,5:51,4,4,PIT 36,3,17,Matt Gay 54 yard field goal no good,0.890,-1.860
3,5:49,1,10,PIT 44,3,17,Najee Harris left tackle for 1 yard (tackle by Raekwon Davis),1.860,1.450
3,5:16,2,9,PIT 45,3,17,Justin Fields pass complete deep left to George Pickens for 38 yards (tackle by Julian Blackmon),1.450,4.440
3,4:37,1,10,IND 17,3,17,Justin Fields pass complete short right to Najee Harris for 11 yards (tackle by Samuel Womack),4.440,5.830
3,3:51,1,6,IND 6,3,17,Penalty on Mason McCormick: False Start 5 yards (accepted) (no play),5.830,4.770
3,3:51,1,11,IND 11,3,17,Justin Fields scrambles left end for 6 yards (tackle by E.J. Speed),4.770,5.150
3,3:07,2,5,IND 5,3,17,Justin Fields pass incomplete short right intended for George Pickens (defended by Samuel Womack),5.150,4.260
3,2:59,3,5,IND 5,9,17,Justin Fields scrambles right end for 5 yards touchdown,4.260,7.000
3,2:53,,,IND 15,10,17,Chris Boswell kicks extra point good,0.000,0.000
3,2:53,,,PIT 35,10,17,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
3,2:53,1,10,IND 30,10,17,Joe Flacco pass incomplete short right,0.940,0.390
3,2:48,2,10,IND 30,10,17,Joe Flacco pass incomplete short left,0.390,-0.300
3,2:41,3,10,IND 30,10,17,Joe Flacco pass complete short right to Michael Pittman for 12 yards (tackle by Minkah Fitzpatrick),-0.300,1.730
3,2:07,1,10,IND 42,10,17,Trey Sermon left guard for no gain (tackle by Keeanu Benton),1.730,1.190
3,1:31,2,10,IND 42,10,17,Joe Flacco pass incomplete deep left intended for Adonai Mitchell. Penalty on Minkah Fitzpatrick: Unnecessary Roughness / Defense 15 yards (accepted) (no play),1.190,2.720
3,1:26,1,10,PIT 43,10,17,Jonathan Taylor right tackle for 3 yards (tackle by DeShon Elliott),2.720,2.580
3,0:53,2,7,PIT 40,10,17,Joe Flacco pass complete short right to Jonathan Taylor for no gain (tackle by DeShon Elliott),2.580,1.880
3,0:09,3,7,PIT 40,10,17,Joe Flacco pass complete short right to Josh Downs for 25 yards (tackle by Minkah Fitzpatrick),1.880,4.580
4,15:00,1,10,PIT 15,10,17,Joe Flacco pass incomplete short left intended for Adonai Mitchell,4.580,3.950
4,14:55,2,10,PIT 15,10,17,Joe Flacco pass incomplete short left intended for Michael Pittman,3.950,3.100
4,14:50,3,10,PIT 15,10,23,Joe Flacco pass complete short middle to Andrew Ogletree for 15 yards touchdown,3.100,7.000
4,14:43,,,PIT 15,10,24,Matt Gay kicks extra point good,0.000,0.000
4,14:43,,,IND 35,10,24,Matt Gay kicks off 65 yards touchback.,0.000,0.940
4,14:43,1,10,PIT 30,10,24,Justin Fields pass complete short right to Pat Freiermuth for 5 yards (tackle by E.J. Speed),0.940,1.070
4,14:09,2,5,PIT 35,10,24,Justin Fields right tackle for 8 yards (tackle by Zaire Franklin),1.070,1.800
4,13:32,1,10,PIT 43,10,24,Justin Fields pass complete short right to Najee Harris for 32 yards (tackle by Julian Blackmon). Penalty on Dayo Odeyingbo: Roughing the Passer 13 yards (accepted),1.800,4.780
4,13:11,1,10,IND 12,10,24,Justin Fields pass incomplete short right,4.780,4.100
4,12:52,2,10,IND 12,10,24,Justin Fields pass complete short left to George Pickens for 9 yards (tackle by Jaylon Jones),4.100,5.060
4,12:23,3,1,IND 3,10,24,Najee Harris left guard for 1 yard (tackle by Julian Blackmon),5.060,6.740
4,11:38,1,2,IND 2,10,24,Justin Fields pass incomplete short right intended for George Pickens,6.740,5.720
4,11:29,2,2,IND 2,16,24,Justin Fields scrambles left end for 2 yards touchdown,5.720,7.000
4,11:23,,,IND 15,17,24,Chris Boswell kicks extra point good,0.000,0.000
4,11:23,,,PIT 35,17,24,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
4,11:23,1,10,IND 30,17,24,Jonathan Taylor left end for 2 yards (tackle by Payton Wilson),0.940,0.660
4,10:44,2,8,IND 32,17,24,Joe Flacco pass complete short middle to Josh Downs for 13 yards (tackle by Payton Wilson),0.660,1.930
4,10:07,1,10,IND 45,17,24,Jonathan Taylor left tackle for 21 yards (tackle by Minkah Fitzpatrick and DeShon Elliott),1.930,3.310
4,9:37,1,10,PIT 34,17,24,Jonathan Taylor left tackle for 2 yards (tackle by Larry Ogunjobi),3.310,3.040
4,8:59,2,8,PIT 32,17,24,Jonathan Taylor up the middle for 1 yard (tackle by DeShon Elliott),3.040,2.480
4,8:19,3,7,PIT 31,17,24,Joe Flacco pass complete short right to Josh Downs for 10 yards (tackle by Payton Wilson),2.480,4.170
4,7:30,1,10,PIT 21,17,24,Trey Sermon left end for 1 yard (tackle by Isaiahh Loudermilk),4.170,3.760
4,6:51,2,9,PIT 20,17,24,Trey Sermon left end for 6 yards (tackle by Joey Porter),3.760,4.020
4,6:13,3,3,PIT 14,17,24,Trey Sermon up the middle for -2 yards (tackle by Patrick Queen and Nick Herbig),4.020,2.430
4,6:06,,,,,,Timeout #1 by Pittsburgh Steelers,,
4,6:06,4,5,PIT 16,17,27,Matt Gay 35 yard field goal good,2.430,3.000
4,6:03,,,IND 35,17,27,Matt Gay kicks off 65 yards touchback.,0.000,0.940
4,6:03,1,10,PIT 30,17,27,Justin Fields pass incomplete short left intended for Najee Harris (defended by Laiatu Latu),0.940,0.390
4,5:57,2,10,PIT 30,17,27,Justin Fields up the middle for 8 yards (tackle by Nick Cross),0.390,0.760
4,5:14,3,2,PIT 38,17,27,Justin Fields pass complete deep left to George Pickens for 37 yards (tackle by Jaylon Jones),0.760,3.910
4,4:46,1,10,IND 25,17,27,Justin Fields pass complete short right to Van Jefferson for 12 yards (tackle by Chris Lammons),3.910,4.710
4,4:21,1,10,IND 13,17,27,Najee Harris up the middle for 5 yards (tackle by Taven Bryan and Zaire Franklin),4.710,4.960
4,3:53,2,5,IND 8,17,27,Justin Fields pass incomplete short left intended for George Pickens,4.960,4.100
4,3:45,3,5,IND 8,23,27,Justin Fields pass complete short left to Pat Freiermuth for 8 yards touchdown,4.100,7.000
4,3:40,,,IND 15,24,27,Chris Boswell kicks extra point good,0.000,0.000
4,3:40,,,PIT 35,24,27,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
4,3:40,1,10,IND 30,24,27,Trey Sermon left tackle for 3 yards (tackle by Payton Wilson),0.940,0.800
4,2:59,2,7,IND 33,24,27,Joe Flacco sacked by and Larry Ogunjobi for -8 yards and Cameron Heyward for -8 yards,0.800,-0.960
4,2:52,,,,,,Timeout #2 by Pittsburgh Steelers,,
4,2:52,3,15,IND 25,24,27,Joe Flacco pass incomplete short right intended for Adonai Mitchell,-0.960,-1.700
4,2:46,4,15,IND 25,24,27,Rigoberto Sanchez punts 58 yards fair catch by Calvin Austin at PIT-17,-1.700,0.060
4,2:39,1,10,PIT 17,24,27,Justin Fields right tackle for 12 yards (tackle by Nick Cross),-0.060,0.870
4,2:12,1,10,PIT 29,24,27,Justin Fields pass complete short left to Van Jefferson for 9 yards (tackle by Zaire Franklin),0.870,1.540
4,2:00,2,1,PIT 38,24,27,Najee Harris up the middle for 4 yards (tackle by E.J. Speed),1.540,1.730
4,1:36,1,10,PIT 42,24,27,Justin Fields aborted snap recovered by Justin Fields at PIT-30 and returned for -12 yards (tackle by E.J. Speed),1.730,-0.370
4,1:11,2,21,PIT 30,24,27,Justin Fields pass incomplete deep left intended for George Pickens (defended by Jaylon Jones),-0.370,-1.020
4,1:07,3,21,PIT 30,24,27,Justin Fields pass complete short left to Najee Harris for 11 yards (tackle by E.J. Speed),-1.020,-0.650
4,0:42,4,10,PIT 41,24,27,Justin Fields pass incomplete short right intended for Van Jefferson,-0.650,-2.850
4,0:29,1,10,PIT 41,24,27,Joe Flacco kneels for -1 yards,2.850,2.170